,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"53,762,000","49,960,000","47,290,000","40,536,000"
2,Cost of Revenue,"46,392,000","43,589,000","41,809,000","35,962,000"
3,Gross Profit,"7,370,000","6,371,000","5,481,000","4,574,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"67,000","109,000","123,000","123,000"
7,Non Recurring,-,-,-,-
8,Others,"59,000","32,000","83,000","-28,000"
9,Total Operating Expenses,"46,518,000","43,730,000","42,015,000","35,934,000"
10,Operating Income or Loss,"7,244,000","6,230,000","5,275,000","4,602,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,406,000","-984,000","-521,000","-303,000"
13,Earnings Before Interest and Taxes,"7,244,000","6,230,000","5,275,000","4,602,000"
14,Interest Expense,"-668,000","-651,000","-663,000","-443,000"
15,Income Before Tax,"5,838,000","5,246,000","4,754,000","4,299,000"
16,Income Tax Expense,"792,000","3,356,000","1,093,000","1,173,000"
17,Minority Interest,"55,000","74,000","95,000","95,000"
18,Net Income From Continuing Ops,"5,046,000","1,890,000","3,661,000","3,126,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"73,000","1,512,000","479,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"5,046,000","1,963,000","5,173,000","3,605,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"5,046,000","1,963,000","5,173,000","3,605,000"
