,assoc,values
0,they sell,1.04 rally might tempting investor buy point fact would prove good idea sell-side analysts think almost 61.05 gain yet come shareholders .
1,they buy,turn street general positives still outweigh negatives see norwegian cruise line holdings ltd. nclh buy 1.8 analyst consensus rating .
2,they buy,current time stock 15 buy 5 hold ratings .
3,they sell,number large investors also bought sold shares nclh .
4,they sell,"news ceo rio frank j. del sold 3,077 shares norwegian cruise line stock transaction dated monday september 17th ."
5,they sell,"stock sold average price 55.99 total value 172,281.23 ."
6,they sell,"last quarter insiders sold 9,231 shares company stock worth 488,443 ."
7,they sell,zacks investment research upgraded norwegian cruise line sell rating hold rating research report friday july 20th .
8,they buy,bidaskclub upgraded norwegian cruise line buy rating strong-buy rating research report friday september 21st .
9,they buy,jpmorgan chase co. lowered price target norwegian cruise line 70.00 61.00 set overweight rating stock research report friday august 10th .
10,they buy,stifel nicolaus lifted price objective norwegian cruise line 70.00 71.00 gave stock buy rating report friday august 10th .
11,they sell,one equities research analyst rated stock sell rating three assigned hold rating nine issued buy rating company .
12,they buy,stock currently consensus rating buy consensus target price 64.60 .
13,they buy,average analysts currently strong buy recommendation mean rating 4.80. comparison average recommendation month ago strong buy average rating 4.67. similarly average rating observed 2 months ago strong buy mean numerical rating 4.50 average rating observed 3 months ago strong buy mean numerical rating 4.50 .
14,they buy,average analysts currently strong buy recommendation mean rating 4.80. comparison average recommendation month ago strong buy average rating 4.67. similarly average rating observed 2 months ago strong buy mean numerical rating 4.50 average rating observed 3 months ago strong buy mean numerical rating 4.50 .
15,they sell,"ceo sold 3,077 shares norwegian cruise line holdings ltd. nyse nclh exchange happened october 15th 2018. stock sold average price 51.03 per share amounting transaction worth 157,019 ."
16,they sell,"ceo del rio frank j sold 3,077 shares stock transaction took place september 17th 2018. stock sold average price 55.99 per share total exchange amounting 172,284 ."
17,they sell,according composite indicator trendspotter rated slca stock sell .
18,they sell,"short-term u.s. silica holdings inc. slca 20-day average volume 3,622,865 shares short-term indicators sets slca stock 60 sell average basis ."
19,they sell,"medium-term slca stock 50-day average volume 3,048,398 shares medium-term indicators gave average rating 100 sell long-term period fb stock 100-day average volume 2,555,135 shares ."
20,they sell,average long-term indicators rated stock 100 sell .
21,they sell,overall picture short medium long-term indicators sets slca stock 88 sell average basis .
22,they sell,"norwegian cruise line news ceo rio frank j. del sold 3,077 shares stock transaction dated monday september 17th ."
23,they sell,"stock sold average price 55.99 total transaction 172,281.23 ."
24,they sell,"last quarter insiders sold 9,231 shares company stock valued 488,443 ."
25,they sell,bidaskclub downgraded norwegian cruise line sell rating strong sell rating research note thursday august 9th .
26,they buy,stifel nicolaus lifted price target norwegian cruise line 70.00 71.00 gave company buy rating research note friday august 10th .
27,they buy,nomura decreased price target norwegian cruise line 72.00 65.00 set buy rating stock research note friday august 10th .
28,they sell,zacks investment research upgraded norwegian cruise line sell rating hold rating research note friday july 20th .
29,they sell,one research analyst rated stock sell rating three assigned hold rating nine assigned buy rating stock .
30,they buy,stock currently consensus rating buy consensus target price 64.60 .
31,they sell,"related news ceo rio frank j. del sold 3,077 shares norwegian cruise line stock transaction monday september 17th ."
32,they sell,"stock sold average price 55.99 total transaction 172,281.23 ."
33,they sell,"last ninety days insiders sold 9,231 shares company stock valued 488,443 ."
34,they buy,huntington bancshares incorporated hban shares bought cwm llc beaumont financial partners llc acquires new stake invesco bulletshares 2019 corporate bond etf bscj norwegian cruise line nasdaq nclh stock buy rating restated equities research analysts jpmorgan chase co. research note issued thursday october 11th .
35,they buy,bidaskclub raised norwegian cruise line buy rating strong-buy rating research report friday september 21st .
36,they buy,stifel nicolaus increased price target norwegian cruise line 70.00 71.00 gave stock buy rating research note friday august 10th .
37,they buy,nomura decreased price target norwegian cruise line 72.00 65.00 set buy rating company research note friday august 10th .
38,they sell,finally zacks investment research raised norwegian cruise line sell rating hold rating research note friday july 20th .
39,they sell,one research analyst rated stock sell rating three issued hold rating nine issued buy rating company .
40,they buy,stock average rating buy average target price 64.60 .
41,they sell,"related news ceo rio frank j. del sold 3,077 shares stock transaction monday october 15th ."
42,they sell,"stock sold average price 51.03 total value 157,019.31 ."
43,they sell,"insiders sold total 9,231 shares company stock valued 488,443 last quarter ."
44,they sell,qiagen nasdaq qgen releases q4 earnings guidance brokerages anticipate great southern bancorp inc. gsbc post 1.06 earnings per share handful technical analysis tools suggesting norwegian cruise line holdings ltd. nyse nclh overall gets 56. sell rating .
45,they sell,stock also flashing sell barchart trendspotter trading system .
46,they sell,traders hoping speculate nclh short-term trajectory know short terms indicators stock averaged 60 sell average daily trading volume past 20 days 2825315 shares .
47,they sell,nclh stock overall 0.5 sell signal considering medium term indicators 50-day average daily volume remained almost 2108676 shares .
