,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"4,461,600","4,211,300","4,410,300","7,750,500"
2,Cost of Revenue,"3,044,400","2,806,400","2,955,100","5,062,900"
3,Gross Profit,"1,417,200","1,404,900","1,455,200","2,687,600"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"796,000","755,700","778,000","1,827,300"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,853,500","3,577,100","3,744,200","7,017,200"
10,Operating Income or Loss,"608,100","634,200","666,100","733,300"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-214,800","-246,300","-374,700","-466,100"
13,Earnings Before Interest and Taxes,"608,100","634,200","666,100","733,300"
14,Interest Expense,"-201,800","-199,400","-211,000","-287,700"
15,Income Before Tax,"393,300","387,900","291,400","267,200"
16,Income Tax Expense,"330,500","95,600","132,600","9,100"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"62,800","292,300","158,800","258,100"
19,Non-recurring Events,,,,
20,Discontinued Operations,"752,100","194,100","176,600","176,600"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"814,900","486,400","335,400","258,100"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"810,000","483,000","333,200","256,500"
