,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"184,765,000","177,526,000","153,290,000","139,367,000"
2,Cost of Revenue,"156,218,000","148,623,000","126,762,000","114,000,000"
3,Gross Profit,"28,547,000","28,903,000","26,528,000","25,367,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"18,500,000","18,300,000","16,833,000","16,543,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"174,718,000","166,923,000","143,595,000","130,543,000"
10,Operating Income or Loss,"10,047,000","10,603,000","9,695,000","8,824,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,779,000","-1,966,000","-1,079,000","-1,146,000"
13,Earnings Before Interest and Taxes,"10,047,000","10,603,000","9,695,000","8,824,000"
14,Interest Expense,"-1,006,000","-1,078,000","-807,000","-615,000"
15,Income Before Tax,"8,268,000","8,637,000","8,616,000","7,678,000"
16,Income Tax Expense,"1,637,000","3,317,000","3,386,000","3,033,000"
17,Minority Interest,"4,000","4,000","46,000","5,000"
18,Net Income From Continuing Ops,"6,631,000","5,320,000","5,230,000","4,645,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-8,000","-1,000","9,000","-1,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"6,622,000","5,317,000","5,237,000","4,644,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"6,598,000","5,290,000","5,211,000","4,625,000"
