,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"35,942,000","32,073,000","30,608,000","33,820,000"
2,Cost of Revenue,"4,223,000","3,773,000","3,632,000","3,382,000"
3,Gross Profit,"31,719,000","28,300,000","26,976,000","30,438,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"15,091,000","14,139,000","13,774,000","14,970,000"
7,Non Recurring,-,-,-,-
8,Others,"1,975,000","1,689,000","1,504,000","1,689,000"
9,Total Operating Expenses,"22,617,000","20,753,000","19,908,000","21,032,000"
10,Operating Income or Loss,"13,325,000","11,320,000","10,700,000","12,788,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-844,000","-188,000","-396,000","-4,010,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"12,481,000","11,132,000","10,304,000","8,778,000"
16,Income Tax Expense,"2,022,000","6,846,000","2,906,000","2,695,000"
17,Minority Interest,"1,568,000","553,000","506,000","459,000"
18,Net Income From Continuing Ops,"10,459,000","4,286,000","7,398,000","6,083,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"10,459,000","4,286,000","7,398,000","6,083,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"9,841,000","3,661,000","7,066,000","5,546,000"
