,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"13,601,000","12,444,000","11,325,000","9,946,000"
2,Cost of Revenue,"4,620,000","4,185,000","3,770,000","3,330,000"
3,Gross Profit,"8,981,000","8,259,000","7,555,000","6,616,000"
4,Operating Expenses,,,,
5,Research Development,"862,000","787,000","715,000","625,000"
6,Selling General and Administrative,"4,799,000","4,339,000","3,953,000","3,511,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"10,698,000","9,682,000","8,757,000","7,676,000"
10,Operating Income or Loss,"2,903,000","2,762,000","2,568,000","2,270,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-540,000","-699,000","-647,000","-535,000"
13,Earnings Before Interest and Taxes,"2,903,000","2,762,000","2,568,000","2,270,000"
14,Interest Expense,"-264,000","-247,000","-228,000","-108,000"
15,Income Before Tax,"2,356,000","2,063,000","1,921,000","1,735,000"
16,Income Tax Expense,"-1,197,000","1,043,000","274,000","296,000"
17,Minority Interest,-,"14,000","14,000","14,000"
18,Net Income From Continuing Ops,"3,553,000","1,020,000","1,647,000","1,439,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,553,000","1,020,000","1,647,000","1,439,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,553,000","1,020,000","1,647,000","1,439,000"
