,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"9,052,800","6,794,800","6,287,400","5,856,277"
2,Cost of Revenue,"5,265,500","3,897,000","3,454,300","3,375,407"
3,Gross Profit,"3,787,300","2,897,800","2,833,100","2,480,870"
4,Operating Expenses,,,,
5,Research Development,"898,900","718,800","710,200","719,447"
6,Selling General and Administrative,"416,600","355,900","345,300","318,672"
7,Non Recurring,-,-,-,-
8,Others,"-95,800","-93,800","-83,200","-81,006"
9,Total Operating Expenses,"6,485,200","4,877,900","4,426,600","4,332,520"
10,Operating Income or Loss,"2,567,600","1,916,900","1,860,800","1,523,757"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-62,700","28,000","-4,700","2,613"
13,Earnings Before Interest and Taxes,"2,567,600","1,916,900","1,860,800","1,523,757"
14,Interest Expense,"-53,200","-25,000","-15,600","-11,500"
15,Income Before Tax,"2,504,900","1,944,900","1,856,100","1,526,370"
16,Income Tax Expense,"279,700","388,000","236,600","108,050"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,225,200","1,556,900","1,619,500","1,418,320"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,225,200","1,556,900","1,619,500","1,418,320"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,225,200","1,556,900","1,619,500","1,418,320"
