,assoc,values
0,they sell,ctrip.com international nasdaq ctrp upgraded stock analysts valuengine sell rating hold rating research note issued friday october 12th .
1,they buy,bank america decreased price objective ctrip.com international 54.00 50.00 set buy rating company report friday september 14th .
2,they buy,nomura decreased price objective ctrip.com international 52.00 49.00 set buy rating company report thursday september 13th .
3,they sell,zacks investment research upgraded ctrip.com international sell rating hold rating report wednesday september 12th .
4,they sell,one analyst rated stock sell rating seven issued hold rating eight given buy rating company .
5,they sell,hedge funds recently bought sold shares company .
6,they buy,"keyword ctrip.com international nasdaq ctrp ctrp retail/wholesale upgrade valuengineratings:4,13 nasdaq ctrprefreshed2 receive news ratings ctrip.com international daily enter email address receive concise daily summary latest news analysts ratings ctrip.com international related companies marketbeat.com free daily email newsletter ."
7,they buy,bidaskclub cut ctrip.com international buy rating hold rating research report saturday june 23rd .
8,they buy,cowen reissued buy rating issued 51.00 price objective shares ctrip.com international report sunday july 1st .
9,they buy,zacks investment research raised ctrip.com international hold rating strong-buy rating set 56.00 price objective stock report monday june 25th .
10,they buy,barclays dropped price objective ctrip.com international 54.00 50.00 set overweight rating stock report monday july 30th .
11,they sell,finally valuengine lowered ctrip.com international hold rating sell rating research note friday august 3rd .
12,they sell,one research analyst rated stock sell rating seven assigned hold rating eight assigned buy rating company stock .
13,they sell,several hedge funds recently bought sold shares ctrp .
14,they buy,autoliv nyse alv price target cut 91.00 commerzbank reiterates price target aareal bank arl sumitomo life insurance co. bought new stake shares ctrip.com international ltd nasdaq ctrp third quarter according recent 13f filing securities exchange commission .
15,they buy,"fund bought 3,300 shares company stock valued approximately 123,000 ."
16,they sell,number hedge funds institutional investors also bought sold shares stock .
17,they buy,zacks investment research cut shares ctrip.com international strong-buy rating hold rating research note monday july 9th .
18,they buy,barclays dropped price objective shares ctrip.com international 54.00 50.00 set overweight rating company research note monday july 30th .
19,they buy,cowen reissued buy rating issued 51.00 price target shares ctrip.com international research note sunday july 1st .
20,they buy,finally bank america dropped price target shares ctrip.com international 54.00 50.00 set buy rating company research note friday september 14th .
21,they sell,one analyst rated stock sell rating seven assigned hold rating eight issued buy rating company stock .
22,they buy,mercadolibre increased dividend 2 consecutive years .
23,they buy,firm currently buy rating stock .
24,they sell,zacks investment research lowered shares ctrip.com international hold rating sell rating research report tuesday july 31st .
25,they buy,barclays set 45.00 price objective shares ctrip.com international gave stock buy rating research report thursday october 18th .
26,they sell,bidaskclub lowered shares ctrip.com international hold rating sell rating research report tuesday july 10th .
27,they buy,finally ubs group cut price objective shares ctrip.com international 52.82 50.00 set buy rating stock research report monday august 13th .
28,they sell,one research analyst rated stock sell rating seven given hold rating eight given buy rating company stock .
29,they sell,hedge funds institutional investors recently bought sold shares business .
30,they buy,"sumitomo life insurance co. bought new stake ctrip.com international third quarter worth 123,000 ."
31,they buy,"finally 180 wealth advisors llc bought new stake ctrip.com international second quarter worth 201,000 ."
32,they buy,oppenheimer buy rating 47.00 price target stock .
33,they buy,brokerage currently buy rating stock .
34,they buy,bank america cut price objective ctrip.com international 54.00 50.00 set buy rating company research report friday september 14th .
35,they sell,zacks investment research cut ctrip.com international hold rating sell rating research report thursday september 6th .
36,they sell,valuengine raised ctrip.com international sell rating hold rating report friday october 12th .
37,they buy,finally ubs group cut price target ctrip.com international 52.82 50.00 set buy rating company report monday august 13th .
38,they sell,one analyst rated stock sell rating seven given hold rating eight issued buy rating company stock .
39,they sell,number institutional investors hedge funds also bought sold shares stock .
40,they buy,cowen reiterated buy rating issued 51.00 price target shares ctrip.com international research note sunday july 1st .
41,they buy,zacks investment research raised shares ctrip.com international hold rating buy rating set 51.00 price objective company research report tuesday july 10th .
42,they buy,ubs group reduced target price ctrip.com international 52.82 50.00 set buy rating company research note monday august 13th .
43,they buy,nomura reduced price objective ctrip.com international 52.00 49.00 set buy rating company research note thursday september 13th .
44,they buy,finally bank america reduced price target shares ctrip.com international 54.00 50.00 set buy rating company research report friday september 14th .
45,they sell,one equities research analyst rated stock sell rating seven issued hold rating eight given buy rating company .
46,they buy,vanguard short-term bond etf nysearca bsv shares bought arbor investment advisors llc enbridge inc nyse enb shares bought sl advisors llc oppenheimer set 47.00 price objective ctrip.com international nasdaq ctrp report published tuesday morning .
47,they buy,firm currently buy rating stock .
48,they buy,zacks investment research upgraded ctrip.com international hold rating strong-buy rating set 56.00 price target company research report monday june 25th .
49,they sell,bidaskclub lowered ctrip.com international sell rating strong sell rating research note tuesday .
50,they buy,cowen reaffirmed buy rating set 51.00 price objective shares ctrip.com international research note sunday july 1st .
51,they buy,finally barclays set 45.00 price objective ctrip.com international gave company buy rating research note thursday october 18th .
52,they sell,one analyst rated stock sell rating seven issued hold rating eight given buy rating stock .
53,they sell,institutional investors hedge funds recently bought sold shares stock .
54,they buy,sanmina sanm release earnings monday avery dennison avy rating increased overweight jpmorgan chase co .
55,they sell,ctrip.com international nasdaq ctrp downgraded analysts bidaskclub sell rating strong sell rating research report issued clients investors tuesday .
56,they buy,zacks investment research downgraded shares ctrip.com international strong-buy rating hold rating research note monday july 9th .
57,they sell,valuengine raised shares ctrip.com international sell rating hold rating research note friday october 12th .
58,they buy,finally nomura lowered target price shares ctrip.com international 52.00 49.00 set buy rating stock research note thursday september 13th .
59,they sell,one analyst rated stock sell rating seven given hold rating eight issued buy rating company stock .
60,they buy,"principal financial group inc. bought new position ctrip.com international first quarter valued approximately 234,000 ."
61,they buy,"lpl financial llc bought new position ctrip.com international first quarter valued approximately 516,000 ."
62,they sell,stock lost favor guggenheim analysts expressed lack confidence using downgrade buy neutral january 23. morgan stanley released new analyst coverage january 05 calling stock equal-weight .
63,they sell,one analyst rated stock sell recommendation seven given hold recommendation eight assigned buy recommendation company .
64,they buy,ubs group cut price objective shares ctrip.com international 52.82 50.00 set buy rating company research report monday august 13th .
65,they sell,zacks investment research raised shares ctrip.com international sell rating hold rating research note wednesday september 12th .
66,they buy,oppenheimer set 47.00 target price shares ctrip.com international gave company buy rating research note tuesday .
67,they buy,barclays lowered target price shares ctrip.com international 54.00 50.00 set overweight rating stock research note monday july 30th .
68,they sell,finally valuengine cut shares ctrip.com international hold rating sell rating research note friday august 3rd .
69,they buy,"finally seven eight capital lp bought new stake ctrip.com international third quarter worth 12,949,000 ."
70,they sell,one analyst rated stock sell rating seven assigned hold rating eight assigned buy rating company .
71,they buy,bidaskclub cut ctrip.com international buy rating hold rating research report saturday june 23rd .
72,they buy,zacks investment research raised ctrip.com international hold rating strong-buy rating set 56.00 price objective stock research report monday june 25th .
73,they buy,cowen reaffirmed buy rating issued 51.00 price objective shares ctrip.com international research report sunday july 1st .
74,they buy,finally barclays set 45.00 price objective ctrip.com international gave company buy rating research report thursday .
75,they buy,"seven eight capital lp bought new position shares ctrip.com international 3rd quarter valued 12,949,000 ."
76,they buy,"sumitomo life insurance co. bought new position shares ctrip.com international 3rd quarter valued 123,000 ."
77,they buy,"finally bb corp bought new position shares ctrip.com international 3rd quarter valued 895,000 ."
78,they buy,q3 2018 eps estimates waste management inc. wm increased analyst henkel ag co/s otcmkts henky stock rating upgraded goldman sachs group ctrip.com international ltd. nasdaq ctrp exhibits change 2.51 last trading session company closed business 33.45 trading volume 5611219 compared 3-months average trading volume 5.33m.the stock standing contradictory position .
79,they sell,institutional investors also recently bought sold shares company .
80,they buy,zacks investment research cut ctrip.com international strong-buy rating hold rating research report monday july 9th .
81,they buy,barclays dropped price target ctrip.com international 54.00 50.00 set overweight rating stock research report monday july 30th .
82,they buy,cowen restated buy rating issued 51.00 price target shares ctrip.com international research report sunday july 1st .
83,they buy,finally bank america dropped price target ctrip.com international 54.00 50.00 set buy rating stock research report friday september 14th .
84,they sell,one equities research analyst rated stock sell rating seven assigned hold rating eight assigned buy rating company stock .
85,they buy,"180 wealth advisors llc bought new stake shares ctrip.com international second quarter worth 201,000 ."
86,they buy,"point72 asia hong kong ltd increased position shares ctrip.com international 3,674.8 first quarter ."
87,they buy,iht wealth management llc increased position shares ctrip.com international 46.3 first quarter .
88,they buy,"finally canandaigua national bank trust co. bought new stake ctrip.com international 2nd quarter worth 225,000 ."
89,they buy,ubs group reduced price objective shares ctrip.com international 52.82 50.00 set buy rating company research report monday august 13th .
90,they sell,zacks investment research raised shares ctrip.com international sell rating hold rating research report wednesday september 12th .
91,they buy,barclays dropped target price shares ctrip.com international 54.00 50.00 set overweight rating stock research note monday july 30th .
92,they sell,bidaskclub cut shares ctrip.com international hold rating sell rating research note tuesday july 10th .
93,they sell,finally valuengine cut shares ctrip.com international hold rating sell rating research note friday august 3rd .
94,they sell,one research analyst rated stock sell rating seven assigned hold rating eight given buy rating company stock .
95,they sell,addus homecare adus stock rating lowered zacks investment research raymond james associates invests 5.06 million invesco ultra short duration etf nysearca gsy stock ctrip.com international nasdaq ctrp upgraded stock analysts valuengine sell rating hold rating note issued investors friday october 12th .
96,they buy,bank america dropped price target ctrip.com international 54.00 50.00 set buy rating stock research note friday september 14th .
97,they buy,nomura lowered target price ctrip.com international 52.00 49.00 set buy rating stock research report thursday september 13th .
98,they sell,zacks investment research raised ctrip.com international sell rating hold rating research report wednesday september 12th .
99,they sell,one analyst rated stock sell rating seven given hold rating eight issued buy rating company stock .
100,they buy,oppenheimer asset management inc. increased holdings ctrip.com international 42.7 second quarter .
101,they buy,"winslow capital management llc increased holdings ctrip.com international 9,329,640.0 second quarter ."
102,they buy,standard life aberdeen plc increased holdings ctrip.com international 12.3 second quarter .
103,they buy,finally hartline investment corp increased holdings ctrip.com international 15.6 second quarter .
104,they buy,"keyword ctrip.com international nasdaq ctrp ctrp retail/wholesale upgrade valuengineratings:4,13 nasdaq ctrprefreshed1 receive news ratings ctrip.com international daily enter email address receive concise daily summary latest news analysts ratings ctrip.com international related companies marketbeat.com free daily email newsletter ."
105,they buy,cal-maine foods nasdaq calm upgraded buy valuengine churchill downs chdn upgraded buy valuengine barclays set 45.00 price target ctrip.com international nasdaq ctrp report released thursday .
106,they buy,brokerage currently buy rating stock .
107,they buy,bidaskclub lowered shares ctrip.com international buy rating hold rating report saturday june 23rd .
108,they buy,zacks investment research raised shares ctrip.com international hold rating strong-buy rating set 56.00 price objective company report monday june 25th .
109,they buy,cowen reissued buy rating set 51.00 price objective shares ctrip.com international report sunday july 1st .
110,they sell,valuengine lowered shares ctrip.com international hold rating sell rating report friday august 3rd .
111,they buy,finally ubs group decreased price target shares ctrip.com international 52.82 50.00 set buy rating company report monday august 13th .
