,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"16,308,801","15,339,713","15,280,044","15,341,647"
2,Cost of Revenue,"11,396,803","10,740,106","10,724,192","10,747,886"
3,Gross Profit,"4,911,998","4,599,607","4,555,852","4,593,761"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,661,636","3,370,833","3,277,390","3,314,030"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"15,240,062","14,269,941","14,155,630","14,217,421"
10,Operating Income or Loss,"1,068,739","1,069,772","1,124,414","1,124,226"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-59,471","4,568",-733,"-6,487"
13,Earnings Before Interest and Taxes,"1,068,739","1,069,772","1,124,414","1,124,226"
14,Interest Expense,"-41,486","-21,084","-21,662","-25,088"
15,Income Before Tax,"1,009,268","1,074,340","1,123,681","1,117,739"
16,Income Tax Expense,"392,511","387,100","418,009","406,453"
17,Minority Interest,"52,004","13,628","12,675","11,116"
18,Net Income From Continuing Ops,"616,757","687,240","705,672","711,286"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"616,757","687,240","705,672","711,286"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"616,757","687,240","705,672","711,286"
