,0,1,2,3,4
0,Revenue,6/29/2018,6/30/2017,7/1/2016,7/3/2015
1,Total Revenue,"11,184,000","10,771,000","11,160,000","13,739,000"
2,Cost of Revenue,"7,819,000","7,562,000","8,492,000","9,930,000"
3,Gross Profit,"3,365,000","3,209,000","2,668,000","3,809,000"
4,Operating Expenses,,,,
5,Research Development,"1,022,000","1,197,000","1,237,000","1,353,000"
6,Selling General and Administrative,"560,000","604,000","635,000","856,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"9,454,000","9,467,000","10,487,000","12,268,000"
10,Operating Income or Loss,"1,730,000","1,304,000","673,000","1,471,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-312,000","-489,000","-399,000","499,000"
13,Earnings Before Interest and Taxes,"1,730,000","1,304,000","673,000","1,471,000"
14,Interest Expense,"-236,000","-222,000","-193,000","-207,000"
15,Income Before Tax,"1,418,000","815,000","274,000","1,970,000"
16,Income Tax Expense,"236,000","43,000","26,000","228,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,182,000","772,000","248,000","1,742,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,182,000","772,000","248,000","1,742,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,182,000","772,000","248,000","1,742,000"
