,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"7,253,000","7,348,000","6,711,000","6,085,000"
2,Cost of Revenue,"4,256,000","4,017,000","3,668,000","3,605,000"
3,Gross Profit,"2,997,000","3,331,000","3,043,000","2,480,000"
4,Operating Expenses,,,,
5,Research Development,"153,000","143,000","134,000","126,000"
6,Selling General and Administrative,"244,000","237,000","233,000","241,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"6,065,000","5,748,000","5,272,000","5,114,000"
10,Operating Income or Loss,"1,188,000","1,600,000","1,439,000","971,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-483,000","-524,000","-1,666,000","-721,000"
13,Earnings Before Interest and Taxes,"1,188,000","1,600,000","1,439,000","971,000"
14,Interest Expense,"-207,000","-241,000","-273,000","-297,000"
15,Income Before Tax,"705,000","1,076,000","-227,000","250,000"
16,Income Tax Expense,"386,000","1,125,000","563,000","391,000"
17,Minority Interest,"1,010,000","1,021,000","1,153,000","2,942,000"
18,Net Income From Continuing Ops,"319,000","-49,000","-790,000","-141,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"61,000","-38,000","-407,000","221,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"341,000","-98,000","-627,000","220,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"341,000","-98,000","-627,000","220,000"
