,assoc,values
0,they sell,20 analysts 33 wall street brokerage firms rate lululemon athletica inc. nasdaq lulu buy 0 see sell .
1,they buy,getting trading period increased 200 days stock price seen 50.75 average .
2,they buy,eleven research analysts rated stock hold rating twenty-four given buy rating one assigned strong buy rating stock .
3,they buy,company average rating buy consensus price target 175.23 .
4,they sell,"news evp celeste burgoyne sold 19,199 shares company stock transaction occurred friday march 29th ."
5,they sell,"shares sold average price 166.54 total transaction 3,197,401.46 ."
6,they sell,"also director dennis j. wilson sold 288,856 shares company stock transaction occurred thursday march 28th ."
7,they sell,"stock sold average price 155.79 total transaction 45,000,876.24 ."
8,they sell,"last ninety days insiders sold 519,344 shares company stock valued 79,873,942 ."
9,they buy,stifel nicolaus upped price target lululemon athletica 152.00 187.00 gave stock buy rating research note thursday march 28th .
10,they buy,bidaskclub upgraded lululemon athletica buy rating strong-buy rating research note tuesday january 22nd .
11,they buy,eleven equities research analysts rated stock hold rating twenty-four issued buy rating one assigned strong buy rating company .
12,they buy,stock presently average rating buy consensus price target 175.23 .
13,they buy,buyback authorization allows apparel retailer buy 2.6 stock open market purchases .
14,they buy,google_ad_client ca-pub-0703139142419429 google_ad_slot 1418630638 google_ad_width 336 google_ad_height 280 sumitomo mitsui asset management company ltd increased holdings shares lululemon athletica inc. nasdaq lulu 2.0 first quarter according recent filing sec .
15,they buy,scotia capital inc. increased holdings lululemon athletica 79.8 4th quarter .
16,they buy,finally cavalier investments llc increased holdings lululemon athletica 54.4 4th quarter .
17,they buy,eleven research analysts rated stock hold rating twenty-four issued buy rating one assigned strong buy rating company .
18,they buy,company consensus rating buy average target price 175.23 .
19,they sell,sell-side analysts predict lululemon athletica inc. post 4.67 eps current year .
20,they buy,repurchase authorization authorizes apparel retailer buy 2.6 shares open market purchases .
21,they sell,"news evp celeste burgoyne sold 19,199 shares business stock transaction dated friday march 29th ."
22,they sell,"stock sold average price 166.54 total value 3,197,401.46 ."
23,they sell,"also insider michelle sun choe sold 6,170 shares business stock transaction dated thursday april 4th ."
24,they sell,"shares sold average price 170.92 total value 1,054,576.40 ."
25,they sell,"last ninety days insiders sold 519,344 shares company stock valued 79,873,942 ."
26,they buy,copyright violation notice lululemon athletica inc. lulu shares bought sumitomo mitsui asset management company ltd originally published sundance herald owned sundance herald .
27,they buy,bidaskclub raised shares lululemon athletica buy rating strong-buy rating report tuesday january 22nd .
28,they buy,eleven equities research analysts rated stock hold rating twenty-four issued buy rating one given strong buy rating company .
29,they buy,stock currently consensus rating buy consensus target price 175.23 .
30,they sell,sell-side analysts anticipate lululemon athletica inc. post 4.67 earnings per share current fiscal year .
31,they sell,"news director dennis j. wilson sold 288,856 shares company stock transaction thursday march 28th ."
32,they sell,"shares sold average price 155.79 total value 45,000,876.24 ."
33,they sell,"also director dennis j. wilson sold 155,800 shares company stock transaction tuesday march 26th ."
34,they sell,"shares sold average price 144.43 total transaction 22,502,194.00 ."
35,they sell,"last quarter insiders sold 519,344 shares company stock valued 79,873,942 ."
36,they buy,"jennison associates llc bought new stake lululemon athletica fourth quarter valued 314,834,000 ."
37,they buy,mkm partners increased price target shares lululemon athletica 179.00 189.00 gave stock buy rating research report thursday march 28th .
38,they buy,ubs group increased price target shares lululemon athletica 176.00 182.00 gave stock neutral rating research report thursday april 25th .
39,they buy,b. riley increased price target shares lululemon athletica 160.00 165.00 gave stock neutral rating research report friday may 17th .
40,they buy,morgan stanley increased price target shares lululemon athletica 141.00 150.00 gave stock equal weight rating research report thursday march 28th .
41,they buy,finally argus increased price target shares lululemon athletica 195.00 gave stock buy rating research report friday march 29th .
42,they buy,eleven equities research analysts rated stock hold rating twenty-four issued buy rating one given strong buy rating company stock .
43,they buy,lululemon athletica currently average rating buy consensus target price 175.23 .
44,they sell,"lululemon athletica news insider michelle sun choe sold 6,170 shares firm stock transaction occurred thursday april 4th ."
45,they sell,"shares sold average price 170.92 total value 1,054,576.40 ."
46,they sell,"also coo stuart haselden sold 49,319 shares firm stock transaction occurred friday march 29th ."
47,they sell,"shares sold average price 164.62 total transaction 8,118,893.78 ."
48,they sell,"last ninety days insiders sold 519,344 shares company stock worth 79,873,942 ."
49,they sell,several hedge funds also bought sold shares company .
50,they buy,"jennison associates llc bought new stake lululemon athletica fourth quarter valued 314,834,000 ."
51,they buy,"finally norges bank bought new stake lululemon athletica fourth quarter valued 161,284,000 ."
52,they buy,cerner co. cern shares bought cim llc oregon public employees retirement fund reduced position lululemon athletica inc. nasdaq lulu 34.5 first quarter holdings channel reports .
53,they sell,several large investors also recently bought sold shares lulu .
54,they sell,group sell-side analysts predict lululemon athletica inc. post 4.67 eps current fiscal year .
55,they sell,"related news director dennis j. wilson sold 155,800 shares lululemon athletica stock transaction tuesday march 26th ."
56,they sell,"shares sold average price 144.43 total value 22,502,194.00 ."
57,they sell,"also director dennis j. wilson sold 288,856 shares lululemon athletica stock transaction thursday march 28th ."
58,they sell,"stock sold average price 155.79 total transaction 45,000,876.24 ."
59,they sell,"last ninety days insiders sold 519,344 shares company stock worth 79,873,942 ."
60,they buy,stifel nicolaus increased price target shares lululemon athletica 152.00 187.00 gave company buy rating research report thursday march 28th .
61,they buy,mkm partners increased price target shares lululemon athletica 179.00 189.00 gave company buy rating research report thursday march 28th .
62,they buy,canaccord genuity restated buy rating set 186.00 price target previously 163.00 shares lululemon athletica research report thursday march 28th .
63,they buy,bidaskclub lowered shares lululemon athletica strong-buy rating buy rating research report saturday february 2nd .
64,they buy,finally argus increased target price shares lululemon athletica 195.00 gave stock buy rating research report friday march 29th .
65,they buy,eleven investment analysts rated stock hold rating twenty-four issued buy rating one given strong buy rating company stock .
66,they buy,stock average rating buy consensus target price 175.23 .
67,they sell,"news insider michelle sun choe sold 6,170 shares business stock transaction thursday april 4th ."
68,they sell,"shares sold average price 170.92 total value 1,054,576.40 ."
69,they sell,"also director dennis j. wilson sold 288,856 shares business stock transaction thursday march 28th ."
70,they sell,"stock sold average price 155.79 total transaction 45,000,876.24 ."
