,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"8,264,000","7,894,000","5,925,000","5,598,000"
2,Cost of Revenue,"6,058,000","5,170,000","3,461,000","3,313,000"
3,Gross Profit,"2,206,000","2,724,000","2,464,000","2,285,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"326,000","368,000","248,000","211,000"
7,Non Recurring,-,-,-,-
8,Others,"685,000","667,000","443,000","424,000"
9,Total Operating Expenses,"7,489,000","6,577,000","4,515,000","4,268,000"
10,Operating Income or Loss,"775,000","1,317,000","1,410,000","1,330,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-212,000","-158,000","-94,000","-18,000"
13,Earnings Before Interest and Taxes,"775,000","1,317,000","1,410,000","1,330,000"
14,Interest Expense,"-73,000","-86,000","-30,000","-8,000"
15,Income Before Tax,"585,000","1,159,000","1,316,000","1,312,000"
16,Income Tax Expense,"148,000","199,000","519,000","464,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"437,000","960,000","797,000","848,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"437,000","960,000","797,000","848,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"437,000","960,000","797,000","848,000"
