,0,1,2,3,4
0,Revenue,3/31/2018,4/1/2017,4/2/2016,3/28/2015
1,Total Revenue,"2,973,536","3,032,574","2,610,726","1,710,966"
2,Cost of Revenue,"1,826,570","1,897,062","1,561,173","1,021,658"
3,Gross Profit,"1,146,966","1,135,512","1,049,553","689,308"
4,Operating Expenses,,,,
5,Research Development,"445,103","470,836","448,763","257,494"
6,Selling General and Administrative,"527,751","545,588","534,099","249,886"
7,Non Recurring,-,-,-,-
8,Others,"29,930","12,029","18,023","3,562"
9,Total Operating Expenses,"2,829,354","2,925,515","2,562,058","1,532,600"
10,Operating Income or Loss,"144,182","107,059","48,668","178,366"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-127,037","-79,754","-51,530","-57,125"
13,Earnings Before Interest and Taxes,"144,182","107,059","48,668","178,366"
14,Interest Expense,"-59,548","-58,879","-23,316","-1,421"
15,Income Before Tax,"17,145","27,305","-2,862","121,241"
16,Income Tax Expense,"57,433","43,863","25,983","-75,062"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"-40,288","-16,558","-28,845","196,303"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-40,288","-16,558","-28,845","196,303"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-40,288","-16,558","-28,845","196,303"
