,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"6,306,368","4,466,297","4,075,883","5,433,661"
2,Cost of Revenue,"1,793,393","1,454,022","1,380,374","1,496,311"
3,Gross Profit,"4,512,975","3,012,275","2,695,509","3,937,350"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"685,485","548,141","464,793","492,464"
7,Non Recurring,-,-,-,-
8,Others,"2,180,276","1,350,622","1,160,535","1,830,437"
9,Total Operating Expenses,"5,231,503","3,920,435","3,417,069","4,167,383"
10,Operating Income or Loss,"1,074,865","545,862","658,814","1,266,278"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-514,596","-235,265","-369,567","-307,416"
13,Earnings Before Interest and Taxes,"1,074,865","545,862","658,814","1,266,278"
14,Interest Expense,"-389,720","-288,932","-306,206","-319,455"
15,Income Before Tax,"560,269","310,597","289,247","958,862"
16,Income Tax Expense,"-328,985","8,128","7,723","-3,782"
17,Minority Interest,"130,504","99,932","133,824","239,870"
18,Net Income From Continuing Ops,"889,254","302,469","281,524","962,644"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"747,181","241,975","195,290","731,554"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"747,181","241,975","195,290","731,554"
