,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"12,593,196","12,173,907","8,920,934","7,763,206"
2,Cost of Revenue,"9,422,708","9,538,045","6,496,124","5,641,052"
3,Gross Profit,"3,170,488","2,635,862","2,424,810","2,122,154"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"813,042","735,190","668,335","605,748"
7,Non Recurring,-,-,-,-
8,Others,"103,922","98,396","88,849","87,583"
9,Total Operating Expenses,"10,768,229","10,777,966","7,644,893","6,689,003"
10,Operating Income or Loss,"1,824,967","1,395,941","1,276,041","1,074,203"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-307,032","-355,140","-318,085","-552,327"
13,Earnings Before Interest and Taxes,"1,824,967","1,395,941","1,276,041","1,074,203"
14,Interest Expense,"-469,620","-485,658","-469,651","-416,787"
15,Income Before Tax,"1,517,935","1,040,801","957,956","521,876"
16,Income Tax Expense,"362,903","447,282","212,406","136,600"
17,Minority Interest,-,"157,485","3,240,170","3,430,538"
18,Net Income From Continuing Ops,"1,155,032","593,519","745,550","385,276"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"-2,051","-6,081"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,151,703","387,841","352,039","244,977"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,150,603","387,074","352,039","244,977"
