,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"41,616,000","39,668,000","37,876,000","34,914,000"
2,Cost of Revenue,"27,862,000","26,954,000","25,424,000","23,241,000"
3,Gross Profit,"13,754,000","12,714,000","12,452,000","11,673,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"8,819,000","8,819,000","8,819,000","8,819,000"
7,Non Recurring,-,-,-,-
8,Others,"9,214,000","9,003,000","8,564,000","7,909,000"
9,Total Operating Expenses,"37,191,000","36,108,000","34,154,000","31,345,000"
10,Operating Income or Loss,"4,425,000","3,560,000","3,722,000","3,569,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-819,000","-581,000","-395,000","-265,000"
13,Earnings Before Interest and Taxes,"4,425,000","3,560,000","3,722,000","3,569,000"
14,Interest Expense,"-243,000","-251,000","-252,000","-265,000"
15,Income Before Tax,"3,606,000","2,979,000","3,327,000","3,304,000"
16,Income Tax Expense,"1,374,000","1,136,000","1,250,000","1,210,000"
17,Minority Interest,"49,000","62,000","78,000","105,000"
18,Net Income From Continuing Ops,"2,232,000","1,843,000","2,077,000","2,094,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,237,000","1,867,000","2,094,000","2,102,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,237,000","1,867,000","2,094,000","2,102,000"
