,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"15,794,341","11,692,713","8,830,669","6,779,511"
2,Cost of Revenue,"9,967,538","8,033,000","6,257,462","4,591,476"
3,Gross Profit,"5,826,803","3,659,713","2,573,207","2,188,035"
4,Operating Expenses,,,,
5,Research Development,"1,221,814","953,710","780,232","650,788"
6,Selling General and Administrative,"2,999,763","1,867,324","1,413,182","1,231,421"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"14,189,115","10,854,034","8,450,876","6,473,685"
10,Operating Income or Loss,"1,605,226","838,679","379,793","305,826"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-378,768","-353,358","-119,286","-163,941"
13,Earnings Before Interest and Taxes,"1,605,226","838,679","379,793","305,826"
14,Interest Expense,"-420,493","-238,204","-150,114","-132,716"
15,Income Before Tax,"1,226,458","485,321","260,507","141,885"
16,Income Tax Expense,"15,216","-73,608","73,829","19,244"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,211,242","558,929","186,678","122,641"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,211,242","558,929","186,678","122,641"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,211,242","558,929","186,678","122,641"
