,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,199,336","4,999,133","2,589,150","7,212,893"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"4,199,336","4,999,133","2,589,150","7,212,893"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,077,976","2,336,692","1,735,883","1,817,299"
7,Non Recurring,-,-,-,-
8,Others,"-146,989","-121,927","-81,549","-81,549"
9,Total Operating Expenses,"1,930,987","2,214,765","1,654,334","1,817,299"
10,Operating Income or Loss,"2,268,349","2,784,368","934,816","5,395,594"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-11,501",-,"40,409","-53,926"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"2,256,848","2,784,368","975,225","5,341,668"
16,Income Tax Expense,"-194,098","224,326","24,561","66,636"
17,Minority Interest,"16,732,999","13,476,864","11,178,250","43,920,403"
18,Net Income From Continuing Ops,"2,450,946","2,560,042","950,664","5,275,032"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,131,063","1,018,305","309,307","488,482"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,100,801","984,941","287,072","488,482"
