,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"94,507,000","85,029,000","80,736,000","74,510,000"
2,Cost of Revenue,"29,692,000","25,355,000","24,348,000","22,550,000"
3,Gross Profit,"64,815,000","59,674,000","56,388,000","51,960,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"34,791,000","31,968,000","30,070,000","27,282,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"75,500,000","67,453,000","63,844,000","58,512,000"
10,Operating Income or Loss,"19,007,000","17,576,000","16,892,000","15,998,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-3,765,000","-2,223,000","-2,566,000","-2,626,000"
13,Earnings Before Interest and Taxes,"19,007,000","17,576,000","16,892,000","15,998,000"
14,Interest Expense,"-3,542,000","-3,086,000","-2,942,000","-2,702,000"
15,Income Before Tax,"15,242,000","15,353,000","14,326,000","13,372,000"
16,Income Tax Expense,"3,380,000","-7,569,000","5,298,000","4,959,000"
17,Minority Interest,"2,205,000","2,200,000","3,677,000","2,930,000"
18,Net Income From Continuing Ops,"11,862,000","22,922,000","9,028,000","8,413,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"11,731,000","22,735,000","8,678,000","8,163,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"11,731,000","22,735,000","8,678,000","8,163,000"
