,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"127,485,000","103,310,000","122,566,000","192,308,000"
2,Cost of Revenue,"88,013,000","72,684,000","85,426,000","136,770,000"
3,Gross Profit,"39,472,000","30,626,000","37,140,000","55,538,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,448,000","4,684,000","4,443,000","4,494,000"
7,Non Recurring,-,-,-,-
8,Others,"12,333,000","11,668,000","12,033,000","12,572,000"
9,Total Operating Expenses,"123,986,000","109,340,000","125,713,000","172,240,000"
10,Operating Income or Loss,"3,499,000","-6,030,000","-3,147,000","20,068,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"5,722,000","3,870,000","7,989,000","11,134,000"
13,Earnings Before Interest and Taxes,"3,499,000","-6,030,000","-3,147,000","20,068,000"
14,Interest Expense,"-307,000","-201,000","-201,000","-201,000"
15,Income Before Tax,"9,221,000","-2,160,000","4,842,000","31,202,000"
16,Income Tax Expense,"-48,000","-1,729,000","132,000","11,892,000"
17,Minority Interest,"1,195,000","1,166,000","1,170,000","1,163,000"
18,Net Income From Continuing Ops,"9,269,000","-431,000","4,710,000","19,310,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"9,195,000","-497,000","4,587,000","19,241,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"9,195,000","-497,000","4,587,000","19,241,000"
