,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"2,707,300","2,620,515","2,560,693","2,512,852"
2,Cost of Revenue,"1,014,618","962,704","923,621","905,595"
3,Gross Profit,"1,692,682","1,657,811","1,637,072","1,607,257"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"121,722","113,715","105,229","96,319"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"1,781,989","1,693,966","1,672,453","1,641,456"
10,Operating Income or Loss,"925,311","926,549","888,240","871,396"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-212,748","-364,068","-318,263","-71,478"
13,Earnings Before Interest and Taxes,"925,311","926,549","888,240","871,396"
14,Interest Expense,"-378,168","-374,481","-412,989","-432,196"
15,Income Before Tax,"712,563","562,481","569,977","799,918"
16,Income Tax Expense,-,-,-,-
17,Minority Interest,"2,330,797","2,288,499","2,145,629","2,177,492"
18,Net Income From Continuing Ops,"712,563","562,481","569,977","799,918"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"582,847","462,439","512,785","583,106"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"572,347","451,939","502,002","572,606"
