,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,731,700","4,946,200","5,280,600","5,014,600"
2,Cost of Revenue,"2,900,200","2,966,700","3,228,800","2,949,600"
3,Gross Profit,"1,831,500","1,979,500","2,051,800","2,065,000"
4,Operating Expenses,,,,
5,Research Development,"218,600","167,700","184,000","186,200"
6,Selling General and Administrative,"1,123,800","1,145,700","1,205,900","1,143,500"
7,Non Recurring,-,-,-,-
8,Others,"20,200","-41,400","-41,400","-41,400"
9,Total Operating Expenses,"4,262,800","4,238,700","4,618,700","4,279,300"
10,Operating Income or Loss,"468,900","707,500","661,900","735,300"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-178,300","-427,400","-5,510,200","-676,100"
13,Earnings Before Interest and Taxes,"468,900","707,500","661,900","735,300"
14,Interest Expense,"-122,100","-166,100","-212,800","-155,700"
15,Income Before Tax,"290,600","280,100","-4,848,300","59,200"
16,Income Tax Expense,"159,600","160,500","-835,500","61,100"
17,Minority Interest,100,100,-500,-600
18,Net Income From Continuing Ops,"131,000","119,600","-4,012,800","-1,900"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"131,000","119,600","-4,012,800","-1,900"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"131,000","119,600","-4,012,800","-1,900"
