,assoc,values
0,they buy,"wcm investment management llc bought new position asml 4th quarter valued 427,419,000 ."
1,they buy,finally putnam investments llc increased position shares asml 43.8 3rd quarter .
2,they buy,royal bank canada reissued buy rating shares asml report monday february 25th .
3,they buy,zacks investment research raised shares asml hold rating buy rating set 179.00 price objective stock research report wednesday january 23rd .
4,they buy,liberum capital upgraded shares asml hold rating buy rating research note monday february 4th .
5,they sell,finally bidaskclub downgraded asml hold rating sell rating research note saturday march 30th .
6,they sell,three research analysts rated stock sell rating six issued hold rating seven assigned buy rating company .
7,they buy,square inc. sq shares bought ubs oconnor llc ubs oconnor llc takes 2.38 million position cloudera inc cldr bokf na purchased new position shares asml holding nv nasdaq asml 4th quarter according company recent filing securities exchange commission .
8,they buy,legacy financial advisors inc. increased holdings shares asml 259.6 4th quarter .
9,they sell,zacks investment research upgraded shares asml sell rating hold rating research note tuesday march 26th .
10,they sell,bidaskclub cut asml hold rating sell rating research report saturday march 30th .
11,they buy,royal bank canada reiterated buy rating shares asml research note monday february 25th .
12,they buy,finally liberum capital upgraded asml hold rating buy rating research note monday february 4th .
13,they sell,three investment analysts rated stock sell rating six given hold rating seven issued buy rating stock .
14,they sell,three equities research analysts rated stock sell rating six given hold rating seven issued buy rating company .
15,they sell,zacks investment research cut asml hold rating sell rating report wednesday .
16,they sell,bidaskclub cut asml hold rating sell rating report saturday march 30th .
17,they buy,royal bank canada reaffirmed buy rating shares asml report monday february 25th .
18,they buy,finally liberum capital raised asml hold rating buy rating report monday february 4th .
19,they buy,"park national corp oh bought new stake asml first quarter worth approximately 223,000 ."
20,they sell,several hedge funds also bought sold shares stock .
21,they buy,capital international investors increased stake shares asml 281.8 third quarter .
22,they buy,zacks investment research cut asml buy rating hold rating research note monday january 28th .
23,they buy,royal bank canada reissued buy rating shares asml research note monday february 25th .
24,they sell,bidaskclub cut asml hold rating sell rating research note saturday march 30th .
25,they buy,finally liberum capital raised asml hold rating buy rating research note monday february 4th .
26,they sell,three research analysts rated stock sell rating six issued hold rating seven given buy rating company .
27,they buy,liberum capital upgraded asml hold rating buy rating research note monday february 4th .
28,they sell,zacks investment research cut asml hold rating sell rating research note tuesday january 8th .
29,they buy,royal bank canada restated buy rating shares asml research note monday february 25th .
30,they sell,finally bidaskclub cut asml hold rating sell rating research note saturday march 30th .
