,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,372,600","4,854,900","4,284,800","4,200,600"
2,Cost of Revenue,"2,246,900","2,073,500","1,867,100","1,595,100"
3,Gross Profit,"3,125,700","2,781,400","2,417,700","2,605,500"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"779,500","722,600","618,100","238,900"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,"341,400"
9,Total Operating Expenses,"3,026,400","2,796,100","2,485,200","2,301,700"
10,Operating Income or Loss,"2,346,200","2,058,800","1,799,600","1,898,900"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"38,400","446,300","160,900","103,500"
13,Earnings Before Interest and Taxes,"2,346,200","2,058,800","1,799,600","1,898,900"
14,Interest Expense,-,-,-,-
15,Income Before Tax,"2,384,600","2,505,100","1,960,500","2,002,400"
16,Income Tax Expense,"615,900","923,900","706,500","779,400"
17,Minority Interest,"740,300","992,800","687,200","687,200"
18,Net Income From Continuing Ops,"1,768,700","1,581,200","1,254,000","1,223,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,837,500","1,497,800","1,215,000","1,223,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,793,900","1,463,900","1,189,500","1,206,900"
