,assoc,values
0,they sell,"raymond james financial services advisors inc sold 27,264 shares company stock rose 9.56 market ."
1,they sell,company 20/03/2018 corrected-rpt-a small oil field oklahoma seeing big bets producers notable recent devon energy corporation nyse dvn news published benzinga.com released 48 biggest movers friday benzinga april 15 2019 also seekingalpha.com article devon energy says track buy back nearly 20 shares outstanding seeking alpha published september 14 2018 seekingalpha.com published dvn lyg among premarket gainers seeking alpha february 20 2019. interesting news devon energy corporation nyse dvn released seekingalpha.com article devon energy q4 2018 earnings preview seeking alpha published february 18 2019 well finance.yahoo.com news article titled billionaire george soros sold stocks yahoo finance publication date april 15 2019 .
2,they buy,also increased holding select sector spdr tr xlf 1.93m shares quarter total 1.94 million shares risen stake blackstone gso strategic cr bgb .
3,they sell,negative 105 investors sold dvn shares 239 reduced holdings .
4,they buy,ubs asset mngmt americas invested 0 portfolio devon energy corporation nyse dvn .
5,they buy,"neville rodie shaw invested 0.16 58,199 shares ."
6,they buy,grandfield dodd limited liability company invested 0.33 devon energy corporation nyse dvn .
7,they buy,gradient invests ltd llc invested 1 shares 0 stock .
8,they buy,notable recent johnson johnson nyse jnj news published seekingalpha.com released j j baby shampoo samples fail indian quality test seeking alpha april 01 2019 also seekingalpha.com article jnj 1 premarket q1 beat seeking alpha published april 16 2019 seekingalpha.com published urogen 2 premarket janssen partnership seeking alpha april 23 2019. interesting news johnson johnson nyse jnj released seekingalpha.com article johnson johnson declares 0.95 dividend seeking alpha published april 25 2019 well fool.com news article titled 5 top dividend kings buy hold forever motley fool publication date april 13 2019 .
9,they buy,"also increased holding select sector spdr tr xlv 41,259 shares quarter total 48,042 shares risen stake select sector spdr tr xlp ."
10,they sell,zacks investment research cut devon energy hold rating strong sell rating report thursday january 3rd .
11,they buy,johnson rice cut devon energy buy rating accumulate rating report tuesday january 8th .
12,they buy,barclays cut devon energy overweight rating equal weight rating cut price objective company 42.00 33.00 report wednesday january 16th .
