,Open,"

                                High
                                


                                        ""High"" is the highest sales price the stock has achieved during the regular trading hours, the intra-day high.
                                    



","

                                Low
                                


                                        ""Low"" is the lowest sales price the stock has fallen to during the regular trading hours, the intra-day low.
                                    



","

                                Close / Last
                                


                                        ""Close"" is the period at the end of the trading session. Sometimes used to refer to closing price.
                                    



","

                                Volume
                                


                                        ""Volume"" The closing daily official volumes represented graphically for each trading day.
                                    



",0,0
0,89.97,90.23,89.37,90.05,"
                            5,038,330
                        ","



CLOSEX

Edit Favorites

Enter up to 25 symbols separated by commas or spaces in the text box below. These symbols will be available during your session for use on applicable pages.






Update

Clear List







CLOSEX
Customize your NASDAQ.com experience
Background Color Selector

Select the background color of your choice:





 Black
							





 Slate Gray
							






 Light Gray
							





 Gray Blue
							






Quote Search

Select a default target page for your quote search:



						 Real-Time

						 After Hours

						 Pre-Market
 News
					


						 Flash Quote

						 Summary Quote

						 Interactive Charts

						 Default Setting




					Please note that once you make your selection, it will apply to all future visits to NASDAQ.com.
					If, at any time, you are interested in reverting to our default settings, please select Default Setting above.
					
					If you have any questions or encounter any issues in changing your default settings, please email isfeedback@nasdaq.com.
				





CLOSEX
Please confirm your selection:

					You have selected to change your default setting for the Quote Search. This will now be your default target page;
					unless you change your configuration again, or you delete your
					cookies. Are you sure you want to change your settings?


YES
NO



","



CLOSEX


Please disable your ad blocker (or update your settings to ensure that javascript and cookies are enabled), so that we can continue to provide you with the first-rate market news and data you've come to expect from us.





CLOSEX





"
1,89.97,90.23,89.37,90.05,"
                                    5,040,635
                                ",,
2,89.83,90.36,89.65,89.77,"
                                    4,511,145
                                ",,
3,89.31,89.9812,89.125,89.67,"
                                    4,651,108
                                ",,
4,89.19,90.28,89,89.6,"
                                    5,746,206
                                ",,
5,87.94,88.84,87.62,88.76,"
                                    4,305,900
                                ",,
6,88.86,89.13,87.88,88.24,"
                                    5,049,167
                                ",,
7,89,89.66,88.8,89.23,"
                                    6,708,020
                                ",,
8,88,88.9399,87.8907,88.88,"
                                    6,004,863
                                ",,
9,88.64,88.88,88.03,88.13,"
                                    4,679,198
                                ",,
10,88.5,89.43,88.18,88.23,"
                                    6,547,618
                                ",,
11,87.27,88.02,87.11,87.9,"
                                    5,807,062
                                ",,
