,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,314,100","5,160,300","4,734,400","5,122,900"
2,Cost of Revenue,"3,513,100","3,301,200","3,032,900","3,233,900"
3,Gross Profit,"1,801,000","1,859,100","1,701,500","1,889,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"459,200","518,200","492,200","522,300"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,972,300","3,819,400","3,525,100","3,756,200"
10,Operating Income or Loss,"1,341,800","1,340,900","1,209,300","1,366,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-203,700","88,300","-2,700","-4,600"
13,Earnings Before Interest and Taxes,"1,341,800","1,340,900","1,209,300","1,366,700"
14,Interest Expense,"-111,500","-250,100","-216,900","-270,600"
15,Income Before Tax,"1,138,100","1,429,200","1,206,600","1,362,100"
16,Income Tax Expense,"255,000","268,200","338,300","398,000"
17,Minority Interest,"753,600","502,700","391,700","977,700"
18,Net Income From Continuing Ops,"883,100","1,161,000","868,300","964,100"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"882,800","1,127,300","854,200","968,100"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"882,800","1,127,300","854,200","968,100"
