,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,442,700","4,204,100","3,604,200","3,484,500"
2,Cost of Revenue,"1,245,500","1,216,600","1,019,600","976,300"
3,Gross Profit,"3,197,200","2,987,500","2,584,600","2,508,200"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,089,100","997,600","943,400","920,700"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,526,500","2,372,500","2,089,700","2,010,500"
10,Operating Income or Loss,"1,916,200","1,831,600","1,514,500","1,474,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-245,200","-44,800","-956,500","-94,400"
13,Earnings Before Interest and Taxes,"1,916,200","1,831,600","1,514,500","1,474,000"
14,Interest Expense,"-196,000","-189,100","-141,100","-120,200"
15,Income Before Tax,"1,671,000","1,786,800","558,000","1,379,600"
16,Income Tax Expense,"351,600","779,100","282,200","430,000"
17,Minority Interest,"196,600","212,800","197,700","232,000"
18,Net Income From Continuing Ops,"1,319,400","1,007,700","275,800","949,600"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,309,600","1,000,600","266,600","941,300"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,309,600","1,000,600","266,600","941,300"
