,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"4,368,428","3,611,989","2,725,867","2,443,776"
2,Cost of Revenue,"2,193,149","1,820,870","1,291,506","1,197,885"
3,Gross Profit,"2,175,279","1,791,119","1,434,361","1,245,891"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,327,630","1,133,303","825,296","734,119"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,520,779","2,954,173","2,116,802","1,932,004"
10,Operating Income or Loss,"847,649","657,816","609,065","511,772"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-560,817","-497,957","-398,067","-427,039"
13,Earnings Before Interest and Taxes,"847,649","657,816","609,065","511,772"
14,Interest Expense,"-478,698","-392,156","-299,055","-270,553"
15,Income Before Tax,"286,832","159,859","210,998","84,733"
16,Income Tax Expense,"53,850","45,451","23,224","345,459"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"232,982","114,408","187,774","-260,726"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"12,392","12,392","12,392"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"232,982","126,800","187,774","-259,547"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"232,982","126,800","187,774","-259,547"
