,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"19,893,000","18,329,700","16,882,400","14,433,700"
2,Cost of Revenue,"8,785,900","8,099,200","7,522,400","6,610,700"
3,Gross Profit,"11,107,100","10,230,500","9,360,000","7,823,000"
4,Operating Expenses,,,,
5,Research Development,"1,231,200","1,128,800","975,100","861,400"
6,Selling General and Administrative,"6,472,100","5,921,400","5,420,600","4,634,900"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"16,489,200","15,149,400","13,918,100","12,107,000"
10,Operating Income or Loss,"3,403,800","3,180,300","2,964,300","2,326,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-111,000","-241,500","-353,000","-287,300"
13,Earnings Before Interest and Taxes,"3,403,800","3,180,300","2,964,300","2,326,700"
14,Interest Expense,"-157,400","-162,700","-184,400","-139,800"
15,Income Before Tax,"3,292,800","2,938,800","2,611,300","2,039,400"
16,Income Tax Expense,"641,900","469,000","457,900","292,700"
17,Minority Interest,"12,300","9,600","74,000","73,700"
18,Net Income From Continuing Ops,"2,650,900","2,469,800","2,153,400","1,746,700"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"22,300","400,300","1,610,700"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,650,900","2,492,100","2,553,700","3,357,400"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,650,900","2,492,100","2,553,700","3,357,400"
