,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,229,100","703,100","663,800","617,225"
2,Cost of Revenue,"1,233,500","136,700","102,100","66,110"
3,Gross Profit,"995,600","566,400","561,700","551,115"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"312,700","205,500","190,700","191,746"
7,Non Recurring,-,-,-,-
8,Others,"6,300","4,700","4,800","5,655"
9,Total Operating Expenses,"1,744,700","391,300","343,900","303,424"
10,Operating Income or Loss,"484,400","311,800","319,900","313,801"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-150,000","-5,200","4,100","-4,104"
13,Earnings Before Interest and Taxes,"484,400","311,800","319,900","313,801"
14,Interest Expense,"-3,300","-5,700","-5,700","-5,700"
15,Income Before Tax,"334,400","306,600","324,000","309,697"
16,Income Tax Expense,"-66,200","120,900","119,000","119,983"
17,Minority Interest,"9,400","12,600","12,600","12,600"
18,Net Income From Continuing Ops,"400,600","185,700","205,000","189,714"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"401,700","186,800","205,000","189,714"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"396,700","184,900","204,100","188,392"
