,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,727,800","2,878,600","2,538,900","2,491,000"
2,Cost of Revenue,"2,571,300","1,757,100","1,607,700","1,632,800"
3,Gross Profit,"2,156,500","1,121,500","931,200","858,200"
4,Operating Expenses,,,,
5,Research Development,"291,500","141,500","134,500","135,900"
6,Selling General and Administrative,"728,700","470,200","411,700","398,400"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,591,500","2,368,800","2,153,900","2,167,100"
10,Operating Income or Loss,"1,136,300","509,800","385,000","323,900"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-392,600","-329,000","-204,200","-531,300"
13,Earnings Before Interest and Taxes,"1,136,300","509,800","385,000","323,900"
14,Interest Expense,"-134,500","-80,000","-63,500","-62,200"
15,Income Before Tax,"743,700","180,800","180,800","-207,400"
16,Income Tax Expense,"88,800","264,100","50,100","5,200"
17,Minority Interest,"89,300","25,300","35,300","42,600"
18,Net Income From Continuing Ops,"654,900","-83,300","130,700","-212,600"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-143,400","621,700","81,000","711,100"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"502,100","535,800","209,100","489,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"499,200","535,800","208,700","489,000"
