,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"14,212,000","12,607,000","10,630,000","10,337,000"
2,Cost of Revenue,"11,062,000","9,455,000","7,785,000","7,761,000"
3,Gross Profit,"3,150,000","3,152,000","2,845,000","2,576,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"37,000","65,000","41,000","41,000"
7,Non Recurring,-,-,-,-
8,Others,"405,000","391,000","370,000","364,000"
9,Total Operating Expenses,"12,628,000","10,941,000","9,172,000","8,977,000"
10,Operating Income or Loss,"1,584,000","1,666,000","1,458,000","1,360,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-368,000","-379,000","-353,000","-410,000"
13,Earnings Before Interest and Taxes,"1,584,000","1,666,000","1,458,000","1,360,000"
14,Interest Expense,"-559,000","-536,000","-472,000","-450,000"
15,Income Before Tax,"1,216,000","1,287,000","1,105,000","950,000"
16,Income Tax Expense,"98,000","175,000","271,000","230,000"
17,Minority Interest,"480,000","478,000","488,000","23,000"
18,Net Income From Continuing Ops,"1,118,000","1,112,000","834,000","720,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,120,000","1,134,000","868,000","727,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,120,000","1,132,000","866,000","725,000"
