,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"18,486,000","18,348,000","18,287,000","18,591,000"
2,Cost of Revenue,"12,348,000","11,761,000","11,590,000","11,922,000"
3,Gross Profit,"6,138,000","6,587,000","6,697,000","6,669,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,024,000","3,261,000","3,334,000","3,402,000"
7,Non Recurring,-,-,-,-
8,Others,"-39,000","40,000","-8,000","-126,000"
9,Total Operating Expenses,"15,333,000","15,062,000","14,916,000","15,198,000"
10,Operating Income or Loss,"3,153,000","3,286,000","3,371,000","3,393,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,237,000","-191,000","-230,000","-1,909,000"
13,Earnings Before Interest and Taxes,"3,153,000","3,286,000","3,371,000","3,393,000"
14,Interest Expense,"-263,000","-318,000","-319,000","-295,000"
15,Income Before Tax,"1,916,000","3,095,000","3,141,000","1,484,000"
16,Income Tax Expense,"471,000","776,000","922,000","418,000"
17,Minority Interest,"241,000","253,000","219,000","214,000"
18,Net Income From Continuing Ops,"1,445,000","2,319,000","2,219,000","1,066,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,410,000","2,278,000","2,166,000","1,013,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,410,000","2,278,000","2,166,000","1,013,000"
