,0,1,2,3,4
0,Revenue,9/30/2017,9/30/2016,9/30/2015,9/30/2014
1,Total Revenue,"12,093,000","12,483,000","10,282,000","8,446,000"
2,Cost of Revenue,"6,151,000","6,492,000","5,294,000","4,145,000"
3,Gross Profit,"5,942,000","5,991,000","4,988,000","4,301,000"
4,Operating Expenses,,,,
5,Research Development,"774,000","828,000","632,000","524,000"
6,Selling General and Administrative,"2,925,000","3,005,000","2,563,000","2,145,000"
7,Non Recurring,-,-,-,-
8,Others,"-2,000","-2,000","-2,000","-2,000"
9,Total Operating Expenses,"9,848,000","10,325,000","8,489,000","6,814,000"
10,Operating Income or Loss,"2,245,000","2,158,000","1,793,000","1,632,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,269,000","-1,085,000","-1,054,000","-110,000"
13,Earnings Before Interest and Taxes,"2,245,000","2,158,000","1,793,000","1,632,000"
14,Interest Expense,"-521,000","-388,000","-371,000","-135,000"
15,Income Before Tax,"976,000","1,073,000","739,000","1,522,000"
16,Income Tax Expense,"-124,000","97,000","44,000","337,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,100,000","976,000","695,000","1,185,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,100,000","976,000","695,000","1,185,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,030,000","976,000","695,000","1,185,000"
