,assoc,values
0,they sell,"hollencrest securities llc sold 105,953 shares company stock rose 39.52 market ."
1,they buy,stock increased 4.93 0.45 last trading session reaching 9.57 .
2,they buy,"also increased holding hcp inc nyse hcp 56,900 shares quarter total 5.09 million shares risen stake howard hughes corp nyse hhc ."
3,they buy,notable recent general electric company nyse ge news published finance.yahoo.com released economic calendar top 5 things watch week yahoo finance april 28 2019 also thestreet.com article general electric rebound looks questionable thestreet published april 09 2019 globenewswire.com published doc ge files form 8-k nyse ge globenewswire april 01 2019. interesting news general electric company nyse ge released foxbusiness.com article abb buy ceo left fox business published april 28 2019 well seekingalpha.com news article titled stocks watch eyes apple uber f8 avengers seeking alpha publication date april 27 2019 .
4,they buy,"dimitrief alexander bought 94,800 worth stock 10,000 shares ."
5,they buy,"wednesday november 14 dsouza francisco bought 499,200 worth general electric company nyse ge 60,000 shares ."
6,they sell,dropped 148 investors sold ge shares 738 reduced holdings .
7,they buy,moreover evanson asset mgmt limited liability 0.03 invested general electric company nyse ge .
8,they buy,autus asset mngmt ltd liability corporation 0.02 invested general electric company nyse ge .
9,they buy,bingham osborn scarborough limited liability invested 0.02 general electric company nyse ge .
10,they buy,jaffetilchin invest prtnrs ltd llc invested 0.13 general electric company nyse ge .
11,they buy,alphamark advsrs llc 0 invested general electric company nyse ge .
12,they buy,addenda cap invested 0.01 general electric company nyse ge .
13,they sell,"cobblestone capital advisors llc sold 164,286 shares company stock rose 39.52 market ."
14,they buy,stock increased 4.93 0.45 last trading session reaching 9.57 .
15,they sell,"glenmede trust company na sold 26,065 shares company stock declined 3.08 stock markets rallied ."
16,they sell,pfizer inc sold 2.50m shares worth 523.13m thursday november 15 .
17,they sell,worsened 148 investors sold ge shares 738 reduced holdings .
18,they buy,owl creek asset ltd partnership invested 4.87m shares 1.22 stock .
19,they buy,"northwestern mutual wealth mgmt invested 0.02 543,484 shares ."
20,they buy,new york-based quinn opportunity prtnrs ltd liability corp invested 0.02 general electric company nyse ge .
21,they buy,"also increased holding ishares tr itot 51,771 shares quarter total 651,192 shares risen stake apache corp nyse apa ."
22,they buy,thursday november 1 insider culp h lawrence jr bought 2.19 million .
23,they buy,"another trade 10,000 shares valued 94,800 bought dimitrief alexander ."
24,they sell,turned negative 68 investors sold mco shares 176 reduced holdings .
25,they buy,moreover scharf investments limited liability company 0.04 invested moody corporation nyse mco .
26,they buy,price rowe associate md 0.01 invested moody corporation nyse mco .
27,they buy,moreover manor road prtnrs ltd llc 5.29 invested moody corporation nyse mco .
28,they buy,oklahoma-based bokf na invested 0.05 moody corporation nyse mco .
29,they buy,bnp paribas asset invested 0.03 moody corporation nyse mco .
30,they buy,rodgers brothers invested 0 portfolio moody corporation nyse mco .
31,they buy,moreover parkside bancorp trust 0.01 invested moody corporation nyse mco 105 shares .
32,they buy,first wilshire securities management inc increased stake general electric co ge 79.36 based latest 2018q4 regulatory filing sec .
33,they buy,"first wilshire securities management inc bought 82,297 shares company stock rose 39.52 market ."
34,they buy,stock increased 4.93 0.45 last trading session reaching 9.57 .
35,they sell,"randolph co inc sold 72,700 shares company stock rose 8.18 market ."
36,they sell,dived 148 investors sold ge shares 738 reduced holdings .
37,they buy,utah-based albion gru ut invested 1.3 general electric company nyse ge .
38,they buy,massachusetts-based alpha windward ltd liability company invested 0.01 general electric company nyse ge .
39,they buy,moreover first commonwealth financial corp pa 0.11 invested general electric company nyse ge .
40,they buy,provise mngmt ltd company invested 0.02 portfolio general electric company nyse ge .
41,they buy,moreover california state teachers retirement sys 0.28 invested general electric company nyse ge 16.39m shares .
42,they buy,keating investment counselors 0.58 invested general electric company nyse ge .
43,they buy,culp h lawrence jr also bought 2.19 million worth general electric company nyse ge shares .
44,they buy,"tuesday november 6 dimitrief alexander bought 94,800 worth general electric company nyse ge 10,000 shares ."
45,they sell,"tan irving sold 28,000 shares worth 1.36m ."
46,they sell,"209,025 worth cisco systems inc. nasdaq csco sold burns michele ."
47,they sell,"70,000 shares sold kramer kelly a. worth 3.32m thursday november 29 ."
48,they sell,"4,373 shares sold chandler mark worth 196,324 friday november 23. insider bhatt prat sold 33,950 shares worth 1.52m ."
49,they buy,wellcome trust ltd increased stake general electric co ge 20 based latest 2018q4 regulatory filing sec .
50,they buy,wellcome trust ltd bought 4.00m shares company stock rose 39.52 market .
51,they buy,stock increased 4.93 0.45 last trading session reaching 9.57 .
52,they sell,"apollo management holdings lp sold 25,000 shares company stock declined 5.71 stock markets rallied ."
53,they buy,stock increased 2.47 1.01 last trading session reaching 41.85 .
54,they buy,historical gtt news 30/05/2018 reg-gtt main terms conditions share buy-back programme 09/03/2018 cramer also sits ceo upcoming telecom gtt communications 12/04/2018 gtt 1q rev .
55,they sell,turned negative 148 investors sold ge shares 738 reduced holdings .
56,they buy,ohio-based private na invested 0.24 general electric company nyse ge .
57,they buy,moreover dixon hubard feinour brown va 0.1 invested general electric company nyse ge .
58,they buy,stearns fincl group invested 0.12 general electric company nyse ge .
59,they buy,first retail bank trust com newtown invested 0.38 general electric company nyse ge .
60,they buy,contravisory inv management inc invested 0.01 general electric company nyse ge .
61,they buy,guyasuta investment inc 0.16 invested general electric company nyse ge .
62,they buy,"499,200 worth general electric company nyse ge bought dsouza francisco ."
63,they buy,"dimitrief alexander bought 10,000 shares worth 94,800 tuesday november 6 ."
64,they buy,"also increased holding clearway energy inc 289,046 shares quarter total 352,405 shares risen stake enbridge inc nyse enb ."
65,they sell,"baxter bros inc sold 69,088 shares company stock rose 39.52 market ."
66,they buy,stock increased 4.93 0.45 last trading session reaching 9.57 .
67,they sell,"havens advisors llc sold 71,735 shares company stock rose 2.34 market ."
68,they buy,stock increased 0.87 0.33 last trading session reaching 38.48 .
69,they buy,historical foxa news 23/05/2018 stefan nicola breaking comcast considering cash offer buy twenty-first century fox 27/04/2018 jeffrey ubben steps dn 21st century fox board directors 18/04/2018 walt disney oct. 2 2017 representative disney sent draft mutual confidentiality agreement representative 21cf negotiated ensuing days 30/03/2018 jackie jones goldman sachs buy house-flipping lender genesis capital sources say update fox business 23/05/2018 comcast offer fox would cash 19/03/2018 fox 61 exclusive families sheehan hs football players involved serious crash speak fox 61 16/05/2018 lachlan murdoch serve chmn ceo proposed new fox 25/04/2018 comcast cmcsa.o ceo says deal would cover cost capital couple years 16/03/2018 pay vote disney investors question lger rich deal 07/05/2018 exclusive-comcast prepares all-cash bid gate-crash disney-fox deal analysts await fox corporation nasdaq foxa report earnings may 8. expect 0.55 eps 12.24 0.06 last year 0.49 per share .
70,they buy,"10,000 general electric company nyse ge shares value 94,800 bought dimitrief alexander ."
71,they buy,"225,000 shares valued 2.19 million bought culp h lawrence jr thursday november 1 ."
72,they buy,"also increased holding fedex nyse fdx 6,137 shares quarter total 19,420 shares risen stake sherwin williams nyse shw ."
73,they buy,harvey investment co llc increased stake wabtec com wab 5.13 based latest 2018q4 regulatory filing sec .
74,they buy,"harvey investment co llc bought 9,220 shares company stock declined 19.77 stock markets rallied ."
75,they buy,stock increased 2.48 1.77 last trading session reaching 73.23 .
