,0,1,2,3,4
0,Revenue,8/31/2017,9/1/2016,9/3/2015,8/28/2014
1,Total Revenue,"20,322,000","12,399,000","16,192,000","16,358,000"
2,Cost of Revenue,"11,779,000","9,894,000","10,977,000","10,921,000"
3,Gross Profit,"8,543,000","2,505,000","5,215,000","5,437,000"
4,Operating Expenses,,,,
5,Research Development,"1,824,000","1,617,000","1,540,000","1,371,000"
6,Selling General and Administrative,"730,000","656,000","719,000","707,000"
7,Non Recurring,-,-,-,-
8,Others,"5,000","-2,000","-29,000","-12,000"
9,Total Operating Expenses,"14,338,000","12,165,000","13,208,000","12,988,000"
10,Operating Income or Loss,"5,984,000","234,000","2,984,000","3,370,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-780,000","-490,000","72,000","-163,000"
13,Earnings Before Interest and Taxes,"5,984,000","234,000","2,984,000","3,370,000"
14,Interest Expense,"-601,000","-437,000","-371,000","-352,000"
15,Income Before Tax,"5,204,000","-256,000","3,056,000","3,207,000"
16,Income Tax Expense,"114,000","19,000","157,000","128,000"
17,Minority Interest,"849,000","848,000","937,000","802,000"
18,Net Income From Continuing Ops,"5,090,000","-275,000","2,899,000","3,079,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"5,089,000","-276,000","2,899,000","3,045,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"5,089,000","-276,000","2,899,000","3,045,000"
