,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,269,500","3,943,800","3,749,900","3,917,200"
2,Cost of Revenue,"3,380,800","3,075,900","2,850,700","2,994,000"
3,Gross Profit,"888,700","867,900","899,200","923,200"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"425,100","403,600","396,800","416,900"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,826,400","3,500,200","3,267,400","3,431,700"
10,Operating Income or Loss,"443,100","443,600","482,500","485,500"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-58,700","-11,600","4,600","-35,700"
13,Earnings Before Interest and Taxes,"443,100","443,600","482,500","485,500"
14,Interest Expense,"-52,500","-43,500","-38,800","-41,100"
15,Income Before Tax,"384,400","432,000","487,100","449,800"
16,Income Tax Expense,"78,300","138,400","120,000","121,800"
17,Minority Interest,-,600,"2,400","12,100"
18,Net Income From Continuing Ops,"306,100","293,600","367,100","328,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-900,"19,100","1,200"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"305,900","292,600","385,800","325,100"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"305,900","292,600","385,800","325,100"
