,0,1,2,3,4
0,Revenue,7/29/2018,7/30/2017,7/31/2016,8/2/2015
1,Total Revenue,"8,685,000","7,890,000","7,961,000","8,082,000"
2,Cost of Revenue,"5,771,000","4,961,000","5,033,000","5,300,000"
3,Gross Profit,"2,914,000","2,929,000","2,928,000","2,782,000"
4,Operating Expenses,,,,
5,Research Development,"110,000","111,000","105,000","117,000"
6,Selling General and Administrative,"1,224,000","1,122,000","1,654,000","1,463,000"
7,Non Recurring,-,-,-,-
8,Others,"29,000","2,000","19,000","74,000"
9,Total Operating Expenses,"7,134,000","6,196,000","6,811,000","6,954,000"
10,Operating Income or Loss,"1,551,000","1,694,000","1,150,000","1,128,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,279,000","-401,000","-301,000","-179,000"
13,Earnings Before Interest and Taxes,"1,551,000","1,694,000","1,150,000","1,128,000"
14,Interest Expense,"-201,000","-112,000","-115,000","-108,000"
15,Income Before Tax,"272,000","1,293,000","849,000","949,000"
16,Income Tax Expense,"11,000","406,000","286,000","283,000"
17,Minority Interest,"9,000","8,000","8,000","-4,000"
18,Net Income From Continuing Ops,"261,000","887,000","563,000","666,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"261,000","887,000","563,000","666,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"261,000","887,000","563,000","666,000"
