,0,1,2,3,4
0,Revenue,12/29/2018,12/30/2017,12/31/2016,12/26/2015
1,Total Revenue,"4,618,960","3,648,862","3,169,136","3,322,487"
2,Cost of Revenue,"3,645,638","2,867,654","2,472,943","2,600,097"
3,Gross Profit,"973,322","781,208","696,193","722,390"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"566,214","467,993","407,444","420,282"
7,Non Recurring,-,-,-,-
8,Others,"31,803","29,461","33,179","31,516"
9,Total Operating Expenses,"4,287,225","3,405,668","2,949,362","3,080,997"
10,Operating Income or Loss,"331,735","243,194","219,774","241,490"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-3,354","-2,392",-317,"-2,733"
13,Earnings Before Interest and Taxes,"331,735","243,194","219,774","241,490"
14,Interest Expense,"-3,354","-3,166","-3,794","-2,949"
15,Income Before Tax,"328,381","240,802","219,457","238,757"
16,Income Tax Expense,"73,168","63,806","82,107","91,068"
17,Minority Interest,"2,309","3,205","3,205","3,205"
18,Net Income From Continuing Ops,"255,213","176,996","137,350","147,689"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"255,281","177,088","137,350","147,689"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"255,281","177,088","137,350","147,689"
