,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,-,"15,056,900","9,199,600","11,471,900"
2,Cost of Revenue,-,"12,524,600","7,630,000","9,975,100"
3,Gross Profit,-,"2,532,300","1,569,600","1,496,800"
4,Operating Expenses,,,,
5,Research Development,-,"212,900","105,400","95,500"
6,Selling General and Administrative,-,"1,060,900","572,600","689,600"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,-,"13,798,400","8,308,000","10,760,200"
10,Operating Income or Loss,-,"1,258,500","891,600","711,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,-,"-578,800","-340,200","-561,200"
13,Earnings Before Interest and Taxes,-,"1,258,500","891,600","711,700"
14,Interest Expense,-,"-456,000","-114,100","-148,900"
15,Income Before Tax,-,"679,700","551,400","150,500"
16,Income Tax Expense,-,"545,500","180,300","136,500"
17,Minority Interest,-,"21,500","-11,700","9,231.605"
18,Net Income From Continuing Ops,-,"134,200","371,100","14,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,-,"113,300","393,300","14,400"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,-,"113,300","393,300","14,400"
