,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"19,520,970","19,036,525","18,114,048","21,531,577"
2,Cost of Revenue,"18,902,480","18,246,209","17,019,352","20,132,544"
3,Gross Profit,"618,490","790,316","1,094,696","1,399,033"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"172,187","128,073","168,329","182,711"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"19,074,667","18,374,282","17,187,681","20,315,255"
10,Operating Income or Loss,"446,303","662,243","926,367","1,216,322"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-59,862","-115,643","-199,815","-11,413"
13,Earnings Before Interest and Taxes,"446,303","662,243","926,367","1,216,322"
14,Interest Expense,"-67,638","-69,689","-44,770","-29,681"
15,Income Before Tax,"386,441","546,600","726,552","1,204,909"
16,Income Tax Expense,"121,972","219,151","245,888","352,815"
17,Minority Interest,"150,089","117,640","116,152","112,959"
18,Net Income From Continuing Ops,"264,469","327,449","480,664","852,094"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"-5,658","-204,551"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"191,377","281,401","412,512","510,909"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"191,377","281,401","412,512","510,909"
