,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"62,484,000","48,158,000","48,778,000","58,167,000"
2,Cost of Revenue,"48,008,000","37,200,000","37,733,000","47,441,000"
3,Gross Profit,"14,476,000","10,958,000","11,045,000","10,726,000"
4,Operating Expenses,,,,
5,Research Development,"2,110,000","1,584,000","1,598,000","1,647,000"
6,Selling General and Administrative,"4,017,000","2,956,000","2,948,000","3,106,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"55,148,000","42,284,000","42,698,000","52,630,000"
10,Operating Income or Loss,"7,336,000","5,874,000","6,080,000","5,537,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-6,143,000","-1,461,000","3,850,000","-272,000"
13,Earnings Before Interest and Taxes,"7,336,000","5,874,000","6,080,000","5,537,000"
14,Interest Expense,"-1,082,000","-858,000","-946,000","-983,000"
15,Income Before Tax,"1,193,000","4,413,000","9,930,000","5,265,000"
16,Income Tax Expense,"-476,000","9,000","2,147,000","1,426,000"
17,Minority Interest,"1,597,000","1,242,000","809,000","1,133,000"
18,Net Income From Continuing Ops,"1,669,000","4,404,000","7,783,000","3,839,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-77,000","-77,000","-77,000","-77,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,460,000","4,318,000","7,685,000","3,772,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,447,000","3,956,000","7,294,000","3,405,000"
