,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"10,151,000","9,549,000","9,008,000","9,648,000"
2,Cost of Revenue,"7,690,000","6,983,000","6,658,000","7,061,000"
3,Gross Profit,"2,461,000","2,566,000","2,350,000","2,587,000"
4,Operating Expenses,,,,
5,Research Development,"235,000","215,000","219,000","242,000"
6,Selling General and Administrative,"693,000","699,000","694,000","743,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,618,000","7,897,000","7,571,000","8,046,000"
10,Operating Income or Loss,"1,533,000","1,652,000","1,437,000","1,602,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-223,000","-363,000","-388,000","-473,000"
13,Earnings Before Interest and Taxes,"1,533,000","1,652,000","1,437,000","1,602,000"
14,Interest Expense,"-235,000","-244,000","-258,000","-266,000"
15,Income Before Tax,"1,310,000","1,289,000","1,049,000","1,129,000"
16,Income Tax Expense,"226,000","-99,000","190,000","275,000"
17,Minority Interest,-,"77,000","76,000","80,000"
18,Net Income From Continuing Ops,"1,084,000","1,388,000","859,000","854,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,080,000","1,384,000","854,000","848,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,080,000","1,384,000","854,000","848,000"
