,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"7,409,400","7,162,800","8,895,300","9,055,800"
2,Cost of Revenue,"6,566,600","6,352,800","7,177,400","7,129,200"
3,Gross Profit,"842,800","810,000","1,717,900","1,926,600"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"275,300","304,200","350,200","350,400"
7,Non Recurring,-,-,-,-
8,Others,"41,300","55,300","51,300","107,600"
9,Total Operating Expenses,"6,883,200","6,712,300","7,578,900","7,587,200"
10,Operating Income or Loss,"526,200","450,500","1,316,400","1,468,600"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-135,500","-223,500","-215,500","-253,500"
13,Earnings Before Interest and Taxes,"526,200","450,500","1,316,400","1,468,600"
14,Interest Expense,"-171,300","-140,600","-133,600","-128,900"
15,Income Before Tax,"390,700","227,000","1,100,900","1,215,100"
16,Income Tax Expense,"494,900","-74,200","99,100","184,700"
17,Minority Interest,"21,600","37,900","33,200","17,500"
18,Net Income From Continuing Ops,"-104,200","301,200","1,001,800","1,030,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-107,200","297,800","1,000,400","1,028,600"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-107,200","297,800","1,000,400","1,006,300"
