,assoc,values
0,they sell,traders sold shares aon plc nyse aon strength trading friday .
1,they buy,citigroup raised price target aon 167.00 180.00 gave company buy rating report friday october 12th .
2,they buy,finally keefe bruyette woods reaffirmed buy rating set 164.00 price target shares aon report sunday july 29th .
3,they buy,seven equities research analysts rated stock hold rating five given buy rating company stock .
4,they buy,"aon news director jeffrey c. campbell bought 5,550 shares aon stock transaction monday august 6th ."
5,they sell,"also ceo caroline grace sold 4,000 shares aon stock transaction dated wednesday september 19th ."
6,they sell,"stock sold average price 155.00 total value 620,000.00 ."
7,they sell,"last quarter insiders sold 8,750 shares company stock worth 1,327,685 ."
8,they sell,number hedge funds recently bought sold shares business .
9,they buy,bitqy bq 1-day volume tops 0.00 harsco co. hsc given average rating buy brokerages aon nyse aon price objective boosted research analysts citigroup 167.00 180.00 research note issued investors friday october 12th stock target advisor reports .
10,they buy,brokerage currently buy rating financial services provider stock .
11,they buy,keefe bruyette woods restated buy rating issued 164.00 price target shares aon research note sunday july 29th .
12,they buy,zacks investment research cut aon buy rating hold rating research report friday july 6th .
13,they buy,seven investment analysts rated stock hold rating five assigned buy rating company stock .
14,they sell,news insider michael neller sold 750 shares company stock transaction dated monday august 20th .
15,they sell,"stock sold average price 143.58 total value 107,685.00 ."
16,they sell,"last ninety days insiders sold 8,750 shares company stock valued 1,327,685 ."
17,they sell,related news insider michael neller sold 750 shares company stock transaction monday august 20th .
18,they sell,"shares sold average price 143.58 total value 107,685.00 ."
19,they sell,"last quarter insiders sold 8,750 shares company stock valued 1,327,685 ."
20,they sell,brokerages set rayonier advanced materials inc ryam price target 23.00 head head contrast selective insurance group sigi kinsale capital group knsl among 3 analysts covering aon nyse aon 2 buy rating 0 sell 1 hold .
21,they buy,rating maintained citigroup buy tuesday may 8. list aon plc nyse aon latest ratings price target changes .
22,they buy,12/10/2018 broker citigroup old rating buy new rating buy old target 167 new target 180 maintain25/09/2018 broker raymond james old rating underperform new rating outperform upgrade07/08/2018 broker credit suisse rating neutral new target 154 initiates coverage on08/05/2018 broker citigroup old rating buy new rating buy old target 160 new target 165 maintain stock increased 3.00 4.39 last trading session reaching 150.69 .
23,they buy,massachusetts financial services co. increased stake shares aon 7.3 2nd quarter .
24,they buy,principal financial group inc. increased stake shares aon 0.4 1st quarter .
25,they buy,mawer investment management ltd. increased stake shares aon 2.9 2nd quarter .
26,they buy,boston partners increased stake shares aon 1.8 2nd quarter .
27,they buy,finally cantillon capital management llc increased stake shares aon 53.2 2nd quarter .
28,they buy,"news director jeffrey c. campbell bought 5,550 shares company stock transaction dated monday august 6th ."
29,they sell,also insider michael neller sold 750 shares company stock transaction occurred monday august 20th .
30,they sell,"stock sold average price 143.58 total transaction 107,685.00 ."
31,they sell,"insiders sold 8,750 shares company stock worth 1,327,685 last three months ."
32,they buy,citigroup raised price target shares aon 167.00 180.00 gave company buy rating report friday october 12th .
33,they buy,keefe bruyette woods reaffirmed buy rating set 164.00 price objective shares aon report sunday july 29th .
34,they buy,seven equities research analysts rated stock hold rating five issued buy rating company .
35,they sell,brokerages anticipate stellus capital investment corp scm post 0.34 eps clinton group inc. buys new position helmerich payne inc. nyse hp among 3 analysts covering aon nyse aon 2 buy rating 0 sell 1 hold .
36,they buy,12/10/2018 broker citigroup old rating buy new rating buy old target 167 new target 180 maintain25/09/2018 broker raymond james old rating underperform new rating outperform upgrade07/08/2018 broker credit suisse rating neutral new target 154 initiates coverage on08/05/2018 broker citigroup old rating buy new rating buy old target 160 new target 165 maintain stock increased 3.00 4.39 last trading session reaching 150.69 .
37,they buy,citigroup raised target price shares aon 167.00 180.00 gave stock buy rating research report friday october 12th .
38,they buy,finally keefe bruyette woods restated buy rating set 164.00 target price shares aon research report sunday july 29th .
39,they buy,seven investment analysts rated stock hold rating five given buy rating company stock .
40,they sell,related news insider michael neller sold 750 shares aon stock transaction monday august 20th .
41,they sell,"shares sold average price 143.58 total value 107,685.00 ."
42,they sell,"last quarter insiders sold 8,750 shares company stock worth 1,327,685 ."
43,they buy,bhp billiton blt given neutral rating credit suisse group daimler ddaif buy rating reaffirmed equinet trust co. vermont increased position aon plc nyse aon 11.2 3rd quarter according recent 13f filing sec .
44,they buy,"chicago trust co na bought new position shares aon 3rd quarter valued 208,000 ."
45,they sell,average sell-side analysts forecast aon plc post 8.06 earnings per share current year .
46,they sell,"related news ceo caroline grace sold 4,000 shares stock transaction dated wednesday september 19th ."
47,they sell,"shares sold average price 155.00 total value 620,000.00 ."
48,they sell,"last ninety days insiders sold 8,750 shares company stock valued 1,327,685 ."
49,they buy,citigroup increased price objective shares aon 167.00 180.00 gave company buy rating report friday october 12th .
50,they buy,keefe bruyette woods reissued buy rating set 164.00 price objective shares aon report sunday july 29th .
51,they buy,seven analysts rated stock hold rating five given buy rating company stock .
52,they buy,"townsend associates inc bought new position shares aon 2nd quarter worth 106,000 ."
53,they buy,"pinebridge investments l.p. bought new position shares aon 2nd quarter worth 132,000 ."
54,they buy,"true private wealth advisors bought new position shares aon 3rd quarter worth 163,000 ."
55,they buy,citigroup raised price target aon 167.00 180.00 gave stock buy rating research report friday october 12th .
56,they buy,finally keefe bruyette woods restated buy rating issued 164.00 price target shares aon research report sunday july 29th .
57,they buy,seven equities research analysts rated stock hold rating five issued buy rating stock .
58,they sell,"aon news ceo caroline grace sold 4,000 shares aon stock transaction dated wednesday september 19th ."
59,they sell,"stock sold average price 155.00 total transaction 620,000.00 ."
60,they buy,"also director jeffrey c. campbell bought 5,550 shares aon stock transaction monday august 6th ."
61,they sell,"last quarter insiders sold 8,750 shares company stock worth 1,327,685 ."
62,they sell,aon news insider michael neller sold 750 shares stock transaction occurred monday august 20th .
63,they sell,"shares sold average price 143.58 total value 107,685.00 ."
64,they sell,"also ceo caroline grace sold 4,000 shares stock transaction occurred wednesday september 19th ."
65,they sell,"shares sold average price 155.00 total transaction 620,000.00 ."
66,they sell,"insiders sold 8,750 shares company stock worth 1,327,685 last 90 days ."
67,they buy,citigroup increased price objective shares aon 167.00 180.00 gave company buy rating research note friday .
68,they buy,keefe bruyette woods reissued buy rating issued 164.00 price objective shares aon research note sunday july 29th .
69,they buy,finally zacks investment research cut shares aon buy rating hold rating research note friday july 6th .
70,they buy,seven research analysts rated stock hold rating five assigned buy rating stock .
