,assoc,values
0,they sell,volume gives investor idea price action security whether buy sell security .
1,they buy,lake street financial llc bought new stake shares lyondellbasell industries nv nyse lyb 1st quarter according company recent form 13f filing sec .
2,they buy,"firm bought 9,495 shares specialty chemicals company stock valued approximately 798,000 ."
3,they buy,nomura raised shares lyondellbasell industries neutral rating buy rating lifted price target company 87.00 113.00 research report monday .
4,they buy,bank america raised shares lyondellbasell industries underperform rating buy rating set 105.00 price target stock research report tuesday april 2nd .
5,they buy,goldman sachs group raised shares lyondellbasell industries neutral rating buy rating lifted price target company 104.00 125.00 research report wednesday march 6th .
6,they buy,dougherty co lowered shares lyondellbasell industries buy rating neutral rating research report friday february 22nd .
7,they buy,finally reaffirmed buy rating set 120.00 target price shares lyondellbasell industries research report tuesday february 12th .
8,they sell,two analysts rated stock sell rating five issued hold rating fourteen given buy rating stock .
9,they buy,lyondellbasell industries consensus rating buy consensus target price 116.94 .
10,they sell,0.01 earnings per share expected conifer holdings inc cnfr quarter 10 analysts 19 wall street brokerage firms rate lyondellbasell industries n.v. nyse lyb buy 0 see sell .
11,they buy,getting trading period increased 200 days stock price seen 15.18 average .
12,they buy,goldman sachs group raised shares lyondellbasell industries neutral rating buy rating raised price target company 104.00 125.00 research report wednesday march 6th .
13,they buy,nomura raised shares lyondellbasell industries neutral rating buy rating raised price target company 87.00 113.00 research report monday .
14,they buy,bank america upgraded shares lyondellbasell industries underperform rating buy rating set 105.00 price objective company research note tuesday april 2nd .
15,they buy,finally reiterated buy rating issued 120.00 price objective shares lyondellbasell industries research note tuesday february 12th .
16,they sell,two equities research analysts rated stock sell rating five assigned hold rating fourteen issued buy rating company stock .
17,they buy,company currently consensus rating buy consensus target price 116.94 .
18,they buy,seekingalpha chemical names including dow huntsman upped buy nomura stock market cap 34.2b 370.3m shares outstanding float 367.7m shares .
19,they buy,calculations show 200 day moving average 97.20 50 day moving average 87.07. currently lyb stock trading 200 day moving average may good opportunity buy may continue trend .
20,they buy,seekingalpha chemical names including dow huntsman upped buy nomura last annual fiscal eps company reported 12.01 ended 31st december 2018 according previous close pe 7.68. based 6 analyst estimates consensus eps next quarter 2.21. ttm eps 11.24 comes ttm pe 8.20. historically pe high 17.10 pe low 6.30. stock reached pe low would represent price 70.85 decrease .
21,they sell,analysts assigned mean rating 2.40 1.0 strong buy 5.0 sell .
22,they sell,analyses consensus rating score stands 2.4. next one year period average individual price target estimates referred covering sell-side analysts 102.32 .
