,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"22,561,000","20,776,000","19,427,000","16,560,000"
2,Cost of Revenue,"6,490,000","5,945,000","4,948,000","3,825,000"
3,Gross Profit,"16,071,000","14,831,000","14,479,000","12,735,000"
4,Operating Expenses,,,,
5,Research Development,"5,131,000","4,894,000","4,477,000","4,037,000"
6,Selling General and Administrative,"4,522,000","4,749,000","4,907,000","4,831,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"16,143,000","15,588,000","14,332,000","12,693,000"
10,Operating Income or Loss,"6,418,000","5,188,000","5,095,000","3,867,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-450,000","-57,000","820,000","-1,790,000"
13,Earnings Before Interest and Taxes,"6,418,000","5,188,000","5,095,000","3,867,000"
14,Interest Expense,"-183,000","-196,000","-167,000","-184,000"
15,Income Before Tax,"5,968,000","5,131,000","5,915,000","2,077,000"
16,Income Tax Expense,"1,021,000","4,156,000","1,408,000","446,000"
17,Minority Interest,"96,000","106,000","170,000","158,000"
18,Net Income From Continuing Ops,"4,947,000","975,000","4,507,000","1,631,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,920,000","1,007,000","4,457,000","1,565,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,920,000","1,007,000","4,457,000","1,565,000"
