,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"6,934,000","6,050,900","5,489,500","5,301,000"
2,Cost of Revenue,"4,842,300","4,344,300","3,905,800","3,716,500"
3,Gross Profit,"2,091,700","1,706,600","1,583,700","1,584,500"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"903,700","790,400","739,300","769,000"
7,Non Recurring,-,-,-,-
8,Others,"141,600","141,600",-800,-200
9,Total Operating Expenses,"6,306,600","5,514,300","4,993,300","4,808,000"
10,Operating Income or Loss,"627,400","536,600","496,200","493,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-148,000","-176,800","-162,600","-199,500"
13,Earnings Before Interest and Taxes,"627,400","536,600","496,200","493,000"
14,Interest Expense,"-138,400","-124,100","-109,800","-103,000"
15,Income Before Tax,"479,400","359,800","333,600","293,500"
16,Income Tax Expense,"-196,500","-157,100","-96,700","-95,600"
17,Minority Interest,"70,800","64,100","59,200","49,900"
18,Net Income From Continuing Ops,"675,900","516,900","430,300","389,100"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"633,500","481,300","396,800","356,800"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"633,500","481,300","396,800","356,800"
