Company,BXTheBlackstoneGroupL.P.,BENFranklinResourcesInc.,KKRKKRCo.Inc.,IVZInvescoPlc,AMPAMERIPRISEFINANCIALSERVICESINC.
MarketValue,$25M,$17M,$12M,$8M,$19M
CurrentLastSaleCLS,$38.62,$35.3,$23.76,$21.53,$143.27
NetChange/%fromclose,2.69/7.49%,0.25/0.7%,0.29/1.24%,0.13/0.6%,0.02/0.01%
TargetPriceTP/CLS%ofTP,N/A,$131/27%,N/A,N/A,N/A
ThisrowincludesthetargetpriceandtheCurrentLastSalesCLSpercentoftheTargetPriceTP.Thetargetpriceisdefinedastheanalystestimated1yeartargetprice.TheCLSpercentofTPcalculationisCurrentPrice/TargetPrice100,,,,,
52WeekHigh/%Change,$40.60/-5%,$35.82/-1%,$28.725/-17%,$31.47/-32%,$153.15/-6%
Thisrowincludesthe52WeekHighandthe%changeofthe52WeekHighfromthecurrentlastsale.The52WeekHighisdefinedasthehighestendofdayvalueforthepastyear.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive0to5%Thismeansthatthestockistradingatornearits52weekhighthismightindicatethepossibilitythatthereisroomforfuturestockpriceincreasesPositive4.9%to10%Thismeansthatthestockistradingnearits52weekhighthismightindicatethepossibilitythatthereisroomforfuturestockpriceincreasesNeutral10to15%Thismeansthestockistradingatalevelthatdoesntprovideanyclearsignalforpricemovement.Negative16%to30%Thisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.MoreNegative31to60%Thisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.VeryNegative61%andbelowThisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.,,,,,
52WeekLow/%Change,$26.88/44%,$27.34/29%,$18.30/30%,$15.38/40%,$95.69/50%
Thisrowincludesthe52WeekLowandthe%changeofthe52WeekLowfromthecurrentlastsale.The52WeekLowisdefinedasthelowestendofdayvalueforthepastyear.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive15%andaboveThismeansitmightbetradingatadiscountoranalystsfeelthatthereisgrowthinthestockpricePositive2%to14.9%ThismeansitmightbetradingatadiscountoranalystsfeelthatthereisgrowthinthestockpriceNeutral0to1.9%ThismeansitistradingatornearthetargetpriceNegative-1%to-14.9%ThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremiumMoreNegative-15%to-30%ThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremiumVeryNegative-31%andbelowThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremium,,,,,
Beta,0.59,1.03,0.75,1.08,1.39
ThisrowincludestheBeta.TheBetaisdefinedasameasureofthevolatilityofastockrelativetotheoverallmarket.Abetaoflessthanoneindicateslowerriskthanthemarket.Abetaofmorethanoneindicateshigherriskthanthemarket.NASDAQ.comusestheSP500astheunderlyingindextomeasuretheoverallmarketforbeta.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive.04andbelowIndicatesamuchlowerriskthanthemarketPositive.99to.05IndicatesalowerriskthanthemarketNeutral1to1.19IndicatesriskalignedwiththemarketNegative1.2-1.69IndicatesahigherriskthanthemarketMoreNegative1.7-1.99IndicatesamuchhigherriskthanthemarketVeryNegative2.0andaboveIndicatesamuchgreaterriskthanthemarket,,,,,
Volume,28121357,1847554,5131651,2558647,1019576
AvgDailyVolume,4240173,3258713,4181337,4763120,1034074
ShortInterest,N/A,N/A,N/A,N/A,N/A
%ofsharesoutstanding,0%,0%,0%,0%,0%
Daystocover,N/A,N/A,N/A,N/A,N/A
