,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"12,924,000","12,180,000","11,839,000","12,193,000"
2,Cost of Revenue,"6,261,000","5,897,000","6,261,000","5,891,000"
3,Gross Profit,"6,663,000","6,283,000","5,578,000","6,302,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,152,000","3,153,000","3,061,000","3,077,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"9,413,000","9,050,000","9,322,000","8,968,000"
10,Operating Income or Loss,"3,511,000","3,130,000","2,517,000","3,225,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,027,000","-916,000","-926,000","-1,083,000"
13,Earnings Before Interest and Taxes,"3,511,000","3,130,000","2,517,000","3,225,000"
14,Interest Expense,"-1,008,000","-911,000","-903,000","-1,085,000"
15,Income Before Tax,"2,484,000","2,214,000","1,591,000","2,142,000"
16,Income Tax Expense,"386,000","734,000","278,000","455,000"
17,Minority Interest,-,-,-,"1,188,000"
18,Net Income From Continuing Ops,"2,098,000","1,480,000","1,313,000","1,687,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,098,000","1,480,000","1,313,000","1,562,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,098,000","1,480,000","1,313,000","1,562,000"
