,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"4,060,000","3,389,000","3,093,000","4,945,000"
2,Cost of Revenue,"1,141,000","1,100,000","996,000","945,000"
3,Gross Profit,"2,919,000","2,289,000","2,097,000","4,000,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"462,000","457,000","429,000","503,000"
7,Non Recurring,-,-,-,-
8,Others,"-72,000","192,000","-334,000","-911,000"
9,Total Operating Expenses,"3,842,000","5,220,000","4,238,000","3,263,000"
10,Operating Income or Loss,"218,000","-1,831,000","-1,145,000","1,682,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,409,000","59,000","-1,074,000","28,000"
13,Earnings Before Interest and Taxes,"218,000","-1,831,000","-1,145,000","1,682,000"
14,Interest Expense,"-354,000","-328,000","-263,000","-210,000"
15,Income Before Tax,"-2,191,000","-1,772,000","-2,219,000","1,710,000"
16,Income Tax Expense,"-1,141,000","-787,000","222,000","496,000"
17,Minority Interest,"683,000","312,000","312,000","312,000"
18,Net Income From Continuing Ops,"-1,050,000","-985,000","-2,441,000","1,214,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-1,118,000","-998,000","-2,441,000","1,214,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-1,118,000","-998,000","-2,441,000","1,214,000"
