,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"2,973,903","2,824,686","2,736,080","2,646,154"
2,Cost of Revenue,"386,744","373,958","349,471","346,768"
3,Gross Profit,"2,587,159","2,450,728","2,386,609","2,299,386"
4,Operating Expenses,,,,
5,Research Development,"439,984","415,801","395,373","480,957"
6,Selling General and Administrative,"1,389,577","1,308,177","1,290,677","1,292,226"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,279,218","2,162,814","2,106,015","2,221,293"
10,Operating Income or Loss,"694,685","661,872","630,065","424,861"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-65,230","-111,526","-102,295","-260,277"
13,Earnings Before Interest and Taxes,"694,685","661,872","630,065","424,861"
14,Interest Expense,"-80,162","-51,609","-44,949","-44,153"
15,Income Before Tax,"629,455","550,346","527,770","164,584"
16,Income Tax Expense,"53,788","528,361","57,915","-50,549"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"575,667","21,985","469,855","215,133"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-42,704","66,257","104,228"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"575,667","-20,719","536,112","319,361"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"575,667","-20,719","536,112","319,361"
