,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"14,209,608","13,071,589","10,855,810","9,049,918"
2,Cost of Revenue,"9,893,226","9,086,627","7,082,932","5,611,262"
3,Gross Profit,"4,316,382","3,984,962","3,772,878","3,438,656"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,831,303","2,614,167","2,633,609","2,428,436"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"13,130,643","12,067,721","10,030,637","8,304,799"
10,Operating Income or Loss,"1,078,965","1,003,868","825,173","745,119"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"85,128","-123,142","54,557","32,143"
13,Earnings Before Interest and Taxes,"1,078,965","1,003,868","825,173","745,119"
14,Interest Expense,"-136,814","-144,851","-121,565","-135,122"
15,Income Before Tax,"1,164,093","880,726","879,730","777,262"
16,Income Tax Expense,"466,147","296,662","320,853","263,759"
17,Minority Interest,"60,118","42,758","46,418","41,568"
18,Net Income From Continuing Ops,"697,946","584,064","558,877","513,503"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"691,479","571,973","547,132","484,503"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"691,479","571,973","547,132","484,503"
