stock,quarter,year,neg,neu,pos,bought,sold,current_ratio,cash_ratio,pretax_profit_margin,effective_tax_rate,return_on_capital_employed,debt_ratio,debt_equity_ratio,interest_coverage_ratio,cash_ratio_to_debt,cash_flow_ratio,fixed_asset_turnover_ratio,free_cash_operating_ratio,dividend_coverage,book_value_ratio,trailing_pe_ratio/forward pe,price_sales_ratio,profit_margin,return_on_assets,return_on_equity,operating_margin,quarterly_revenue_growth,quarterly_earnings_growth,fifty_day_ma,twohundred_day_ma,earnings_prediction_quarter,earnings_surprise_quarter,sales_growth,spDelta,MeanRec,ForecastEarningsgrowth,GrowthRelativeToIndustry,Industryforecast,52low,52high,Beta,d2cover,pe,peg,dividend_yield,GROWTHVALUESINVESTORGUY,GROWTHVALUESPEINVESTORYGUy2
LEN,Q4,2019,0,0,0,1576,1378,0,0,0.121504029,0.313707422,0.059357961,0,2,0,0.062305603,1,63.07094474,1,1,1,1,2,0,0,0,0,1,0.819,41.232,47.112,1.88,0.16,1,0,3,0,0,0,1,4,3,5,4,1,0,50,0
adbe,Q4,2019,0,1,1,671,710,0,0,0.292767176,0.207559174,0.116538645,0,2,0,0.479427759,1,7.792627559,1,0,0,1,0,1,1,1,1,1,0.352,254.32,248.63,1.57,-0.05,1,0,4,1,0,1,5,5,2,0,0,1,4,80,0
fnv,Q4,2019,1,1,1,155,117,0,0,0.275381335,0.272185825,0.028946371,1,2,0,6.271637816,1,0.165544393,0,1,0,1,0,1,0,0,1,0,-0.132,75.2,68.45,0.23,0.05,1,0,3,1,0,1,5,5,4,5,0,1,0,60,0
ctas,Q4,2019,0,1,0,301,328,1,0,0.129129213,0.334763836,0.070237288,0,2,0,0.168210216,1,4.539031771,1,1,0,0,0,0,1,1,1,0,0.772,196.56,189.35,1.6,0.06,1,0,3,1,0,1,3,5,4,5,3,1,4,40,0
mu,Q4,2019,0,1,1,423,563,0,0,0.256077158,0.021906226,0.144017433,0,2,0,0.513866129,1,1.045854562,0,0,1,0,1,1,1,1,1,1,0.23,39.75,39.81,1.52,0.01,0,0,3,1,0,1,4,5,2,2,4,1,4,80,91
avgo,Q4,2019,0,0,0,592,514,0,0,0.103481515,0.019178082,0.031092653,0,2,0,0.209752818,1,6.785686803,1,1,0,0,0,1,1,1,1,1,1.096,272.64,244.74,4.83,0.27,1,0,3,1,0,1,4,5,2,2,4,1,4,80,91
orcl,Q4,2019,0,1,1,703,965,0,0,0.305263995,0.189459061,0.069152758,0,0,0,0.174945817,1,7.098400753,1,1,0,1,0,0,1,0,0,0,0.054,51.28,49.01,0.81,0.02,0,0,4,1,0,1,5,5,4,5,0,1,4,80,0
rht,Q4,2019,1,1,1,331,409,0,1,0.132755453,0.207623837,0.055941048,0,2,0,0.238366539,1,12.71853461,1,0,0,1,0,0,1,1,0,1,-0.07,180.55,164.1,0.96,0.09,1,0,3,1,0,1,5,5,2,5,0,1,0,50,0
ccl,Q4,2019,1,1,1,395,429,0,0,0.152255854,0.022505626,0.063907009,0,2,0,0.321338003,1,0.508568109,0,1,1,1,0,0,1,0,1,0,-0.097,57.16,57.65,0.41,0,0,0,3,1,0,1,2,5,5,5,4,1,4,60,93
info,Q4,2019,1,1,1,255,203,0,0,0.101980721,-0.135930264,0.028644259,0,2,0,0.1472232,1,6.77526821,1,0,1,1,0,0,0,0,1,1,-0.226,52.95,52.01,0.54,0.02,1,0,4,1,1,1,4,5,2,0,2,1,0,0,0
lulu,Q4,2019,0,1,1,320,259,0,0,0.180314981,0.282327449,0.183030767,0,2,0,1.298499839,1,5.535767499,0,0,0,1,0,0,1,1,1,1,0.602,148.36,141.62,1.68,0.05,1,0,3,1,0,1,3,5,4,5,0,1,4,40,0
pvh,Q4,2019,1,1,1,227,313,1,0,0.082188441,0.186146544,0.049602906,0,2,0,0.152633596,1,10.79497302,1,1,1,1,2,0,0,0,0,0,0.016,112.23,116.05,1.7,0.07,0,0,4,1,1,1,1,5,4,5,4,1,0,50,0
payx,Q4,2019,0,1,0,461,477,0,0,0.395011583,0.343428663,0.119598461,0,2,0,0.196867826,1,9.345492289,1,0,0,1,0,1,1,1,1,0,0.186,75.29,70.63,0.85,0.02,1,0,3,1,0,1,5,5,3,5,0,1,3,50,0
acn,Q4,2019,0,1,1,625,633,0,0,0.132453598,0.212541854,0.151836302,0,2,0,0.383140044,1,30.55430748,1,1,0,1,0,0,1,1,0,0,0.134,159.63,159.02,1.52,0.1,1,0,5,0,0,1,5,5,2,5,0,1,4,80,0
stz,Q4,2019,1,1,1,494,472,0,0,0.28553502,0.264736792,0.08252161,0,0,0,0.144739537,1,1.86419345,0,1,1,0,0,1,1,1,1,0,-0.385,170.19,187.55,1.66,0.31,0,0,3,1,0,1,2,4,4,5,4,1,4,40,72
pgr,Q4,2019,0,1,1,425,367,0,0,0.079761785,0.252840245,0.041140843,0,2,0,0.12993598,1,23.95150054,1,1,0,1,1,0,0,1,0,1,-0.541,72.48,67.82,1.3,0.23,1,0,3,0,0,1,5,5,4,5,3,1,0,50,91
etr,Q4,2019,0,1,1,260,289,0,0,0.086160426,0.568623177,0.008812612,0,0,0,0.06811308,1,0.370070348,0,1,1,1,1,0,0,0,0,0,0,93.35,87.4,0.53,0.19,0,0,3,1,0,1,5,5,5,5,3,1,4,25,0
fast,Q4,2019,1,1,1,336,338,0,0,0.198861178,0.33730386,0.198797457,0,2,0,0.71927237,1,4.913272158,1,0,0,1,0,0,1,1,1,1,0.108,62.84,57.36,0.64,-0.01,1,0,3,1,1,1,5,5,4,0,0,1,4,40,0
pnc,Q4,2019,1,1,1,510,606,0,0,0.345543807,0.018579235,0.014019035,0,2,0,0.017104714,1,15888000,1,1,1,1,0,1,0,0,1,0,-0.357,125.37,126.91,2.53,-0.04,0,0,4,1,0,1,2,5,4,5,4,1,4,40,91
wfc,Q4,2019,0,1,1,727,1193,0,0,0.318377932,0.179603317,0.011365657,0,2,0,0.010737074,1,4.644790147,1,1,1,1,0,1,0,0,1,0,-0.014,49.55,50.5,1.01,-0.08,0,0,3,1,0,1,2,4,4,5,4,1,4,100,0
chk,Q4,2019,0,1,1,233,259,0,0,0.101520145,0.002094241,0.07637827,0,0,0,0.05821677,1,0.882126782,0,1,1,0,2,0,1,1,0,1,0.541,2.9746,3.2173,0.07,0.02,0,0,3,1,0,1,1,5,1,5,5,1,5,50,0
