0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
stock,quarter,year,neg,neu,pos,bought,sold,current_ratio,cash_ratio,pretax_profit_margin,effective_tax_rate,return_on_capital_employed,debt_ratio,debt_equity_ratio,interest_coverage_ratio,cash_ratio_to_debt,cash_flow_ratio,fixed_asset_turnover_ratio,free_cash_operating_ratio,dividend_coverage,book_value_ratio,trailing_pe_ratio/forward pe,price_sales_ratio,profit_margin,return_on_assets,return_on_equity,operating_margin,quarterly_revenue_growth,quarterly_earnings_growth,fifty_day_ma,twohundred_day_ma,earnings_prediction_quarter,earnings_surprise_quarter,sales_growth,spDelta,MeanRec,ForecastEarningsgrowth,GrowthRelativeToIndustry,Industryforecast,52low,52high,Beta,d2cover,pe,peg,dividend_yield,GROWTHVALUESINVESTORGUY,GROWTHVALUESPEINVESTORYGUy2,Earnings Beat/MISS|MEET,Revenue Beat/MISS|MEET
pgr,Q4,2019,0,1,1,423,365,0,0,0.079761785,0.252840245,0.041140843,0,2,0,0.12993598,1,23.95150054,1,1,0,1,1,0,0,1,0,1,-0.541,72.48,67.82,1.3,0.23,1,0.181324144,3,0,0,1,5,5,4,5,3,1,0,50,91,0,1
fast,Q4,2019,1,1,1,335,337,0,0,0.198861178,0.33730386,0.198797457,0,2,0,0.71927237,1,4.913272158,1,0,0,1,0,0,1,1,1,1,0.108,62.84,57.36,0.64,-0.01,1,0.181280373,3,1,1,1,5,5,4,0,0,1,4,40,0,1,1
pnc,Q4,2019,1,1,1,508,606,0,0,0.345543807,0.018579235,0.014019035,0,2,0,0.017104714,1,15888000,1,1,1,1,0,1,0,0,1,0,-0.357,125.37,126.91,2.53,-0.04,0,0.201071951,4,1,0,1,2,5,4,5,4,1,4,40,91,1,1
wfc,Q4,2019,0,1,1,734,1185,0,0,0.318377932,0.179603317,0.011365657,0,2,0,0.010737074,1,4.644790147,1,1,1,1,0,1,0,0,1,0,-0.014,49.55,50.5,1.01,-0.08,0,0.195639255,3,1,0,1,2,4,4,5,4,1,4,100,0,1,1
ms,Q4,2019,0,1,1,456,549,1,1,0.274159968,0.400653658,0.007174784,0,0,0,-0.005825931,0,37945000,1,0,1,1,1,0,0,0,1,0,1.381,42.47,43.21,1.11,-0.09,0,0.17290432,3,0,0,1,2,5,2,5,4,1,4,80,93,1,1
pep,Q4,2019,0,1,1,1042,1009,0,1,0.151153089,0.488856488,0.060861611,0,0,0,0.145736164,1,3.68474478,1,1,0,0,0,0,1,1,1,0,0,118.02,113.6,0.87,0,0,0.121501224,4,1,1,1,4,4,4,5,2,1,4,40,0,1,1
slg,Q4,2019,0,1,1,169,203,0,0,0.065913204,9.89E-06,0.008065206,0,2,0,0.082713841,1,0.193949385,1,0,1,0,0,0,0,0,1,0,0,90.69,90.91,0.43,-1,0,0.158570412,3,1,1,1,3,5,4,5,0,1,4,40,0,1,0
txt,Q4,2019,1,1,1,222,291,0,0,0.053669531,0.598425197,0.020013038,0,2,0,0.096564531,1,5.217934583,0,1,1,0,2,0,0,1,0,0,0,52.37,54.76,0.61,0.17,0,0.178551766,3,1,1,1,2,5,4,5,4,1,0,50,93,1,0
tmk,Q4,2019,0,1,1,201,233,0,0,0.199887717,-0.755572758,0.061959315,0,2,0,0.082874863,1,38.47752778,1,1,1,1,0,0,0,0,1,0,-0.84,82.63,82.78,1.57,0,0,0.158606219,3,1,1,1,5,5,4,5,0,1,0,50,0,1,1
