,0,1,2,3,4
0,Revenue,4/28/2018,4/29/2017,4/30/2016,4/25/2015
1,Total Revenue,"5,465,683","5,593,127","5,386,703","3,910,865"
2,Cost of Revenue,"4,266,317","4,291,730","4,063,955","2,850,316"
3,Gross Profit,"1,199,366","1,301,397","1,322,748","1,060,549"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"979,477","977,157","961,335","755,963"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"5,245,794","5,268,887","5,025,290","3,606,279"
10,Operating Income or Loss,"219,889","324,240","361,413","304,586"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-40,626","-73,359","-59,720","-30,268"
13,Earnings Before Interest and Taxes,"219,889","324,240","361,413","304,586"
14,Interest Expense,"-46,743","-43,060","-50,065","-33,693"
15,Income Before Tax,"179,263","250,881","301,693","274,318"
16,Income Tax Expense,"-21,711","77,093","116,009","94,235"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"200,974","173,788","185,684","180,083"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-2,895","1,500","43,178"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"200,974","170,893","187,184","223,261"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"200,974","170,893","187,184","223,261"
