,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"12,884,000","12,274,000","10,864,000","15,499,000"
2,Cost of Revenue,"10,261,000","9,526,000","8,684,000","12,466,000"
3,Gross Profit,"2,623,000","2,748,000","2,180,000","3,033,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"984,000","942,000","829,000","1,034,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"11,362,000","10,585,000","9,583,000","13,594,000"
10,Operating Income or Loss,"1,522,000","1,689,000","1,281,000","1,905,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-236,000","-654,000","-268,000","-270,000"
13,Earnings Before Interest and Taxes,"1,522,000","1,689,000","1,281,000","1,905,000"
14,Interest Expense,"-140,000","-155,000","-124,000","-135,000"
15,Income Before Tax,"1,286,000","1,035,000","1,013,000","1,635,000"
16,Income Tax Expense,"223,000","167,000","161,000","255,000"
17,Minority Interest,"218,000","362,000","483,000","503,000"
18,Net Income From Continuing Ops,"1,063,000","868,000","852,000","1,380,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"365,000","458,000","683,000","60,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,355,000","1,257,000","1,450,000","1,351,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,355,000","1,257,000","1,450,000","1,351,000"
