,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"9,123,000","9,241,000","6,596,000","6,413,000"
2,Cost of Revenue,"6,181,000","6,233,000","4,395,000","4,327,000"
3,Gross Profit,"2,942,000","3,008,000","2,201,000","2,086,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,272,000","1,429,000","886,000","794,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"7,453,000","7,662,000","5,281,000","5,121,000"
10,Operating Income or Loss,"1,670,000","1,579,000","1,315,000","1,292,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-637,000","-673,000","-278,000","-239,000"
13,Earnings Before Interest and Taxes,"1,670,000","1,579,000","1,315,000","1,292,000"
14,Interest Expense,"-359,000","-403,000","-199,000","-173,000"
15,Income Before Tax,"1,033,000","906,000","1,037,000","1,053,000"
16,Income Tax Expense,"-319,000","317,000","379,000","335,000"
17,Minority Interest,"109,000","104,000","86,000","134,800"
18,Net Income From Continuing Ops,"1,352,000","589,000","658,000","718,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"1,000","-7,000","-11,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,319,000","568,000","632,000","679,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,319,000","568,000","632,000","679,000"
