,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"6,663,900","5,785,700","4,771,500","4,100,048"
2,Cost of Revenue,"2,056,600","1,790,400","1,308,800","1,094,265"
3,Gross Profit,"4,607,300","3,995,300","3,462,700","3,005,783"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"637,000","543,400","497,800","446,542"
7,Non Recurring,-,-,-,-
8,Others,"-16,000","-6,100",100,-9
9,Total Operating Expenses,"4,393,500","3,853,300","3,092,000","2,544,600"
10,Operating Income or Loss,"2,270,400","1,932,400","1,679,500","1,555,448"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,014,300","-806,500","-849,500","-689,744"
13,Earnings Before Interest and Taxes,"2,270,400","1,932,400","1,679,500","1,555,448"
14,Interest Expense,"-750,800","-718,300","-596,700","-581,716"
15,Income Before Tax,"1,256,100","1,125,900","830,000","865,704"
16,Income Tax Expense,"30,700","155,500","158,000","62,505"
17,Minority Interest,"1,712,800","1,303,600","61,139","99,792"
18,Net Income From Continuing Ops,"1,225,400","970,400","672,000","803,199"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,238,900","956,400","685,100","824,910"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,151,500","849,300","594,900","801,022"
