,0,1,2,3,4
0,Revenue,2/3/2018,1/28/2017,1/30/2016,1/31/2015
1,Total Revenue,-,"18,686,000","19,204,000","19,023,000"
2,Cost of Revenue,-,"11,944,000","12,265,000","12,098,000"
3,Gross Profit,-,"6,742,000","6,939,000","6,925,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,-,"4,435,000","4,452,000","4,350,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"17,657,000","17,317,000","17,651,000","17,334,000"
10,Operating Income or Loss,"1,438,000","1,369,000","1,553,000","1,689,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-22,000","-494,000","-496,000","-340,000"
13,Earnings Before Interest and Taxes,"1,438,000","1,369,000","1,553,000","1,689,000"
14,Interest Expense,-,"-308,000","-327,000","-340,000"
15,Income Before Tax,-,"875,000","1,057,000","1,349,000"
16,Income Tax Expense,-,"319,000","384,000","482,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,-,"556,000","673,000","867,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,-,"556,000","673,000","867,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,-,"556,000","673,000","867,000"
