,0,1,2,3,4
0,Revenue,3/31/2018,3/31/2017,3/31/2016,3/31/2015
1,Total Revenue,"3,980,800","3,407,800","2,173,300","2,147,036"
2,Cost of Revenue,"1,560,100","1,463,900","922,900","893,072"
3,Gross Profit,"2,420,700","1,943,900","1,250,400","1,253,964"
4,Operating Expenses,,,,
5,Research Development,"529,300","545,300","372,600","349,543"
6,Selling General and Administrative,"452,100","499,800","301,700","274,815"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,027,000","2,846,700","1,772,100","1,694,176"
10,Operating Income or Loss,"953,800","561,100","401,200","452,860"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-216,500","-471,300","-119,900","-106,953"
13,Earnings Before Interest and Taxes,"953,800","561,100","401,200","452,860"
14,Interest Expense,"-199,000","-146,300","-104,000","-62,034"
15,Income Before Tax,"737,300","89,800","281,300","345,907"
16,Income Tax Expense,"481,900","-80,800","-42,600","-19,418"
17,Minority Interest,-,-,-,"16,372"
18,Net Income From Continuing Ops,"255,400","170,600","323,900","365,325"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-6,000","-6,000","-6,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"255,400","164,600","324,100","369,009"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"255,400","164,600","324,100","369,009"
