,0,1,2,3,4
0,Revenue,1/31/2018,1/31/2017,1/31/2016,1/31/2015
1,Total Revenue,"10,480,012","8,391,984","6,667,216","5,373,586"
2,Cost of Revenue,"2,773,522","2,234,039","1,654,548","1,289,270"
3,Gross Profit,"7,706,490","6,157,945","5,012,668","4,084,316"
4,Operating Expenses,,,,
5,Research Development,"1,553,073","1,208,127","946,300","792,917"
6,Selling General and Administrative,"5,917,649","4,870,090","3,988,062","3,437,032"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"10,244,244","8,312,256","6,588,910","5,519,219"
10,Operating Income or Loss,"235,768","79,728","78,306","-145,633"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-33,660","-54,345","-14,027","-67,452"
13,Earnings Before Interest and Taxes,"235,768","79,728","78,306","-145,633"
14,Interest Expense,"-86,943","-88,988","-72,485","-73,237"
15,Income Before Tax,"202,108","25,383","64,279","-213,085"
16,Income Tax Expense,"74,630","-154,249","111,705","49,603"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"127,478","179,632","-47,426","-262,688"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"127,478","179,632","-47,426","-262,688"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"127,478","179,632","-47,426","-262,688"
